,ct,cos,bat,cos
101,direct,0.7188320159912109,research,0.9933804273605347
102,also,0.7187467813491821,reveal,0.9933348894119263
103,famili,0.7186563014984131,number,0.9929485321044922
104,histori,0.7186538577079773,peopl,0.9929485321044922
105,therapeut,0.7186013460159302,sarslik,0.9928133487701416
106,sampl,0.7185721397399902,help,0.9928012490272522
107,viru,0.718501627445221,base,0.9927340745925903
108,decemb,0.7185010313987732,merscov,0.9926891922950745
109,diseas,0.7184858322143555,avail,0.9926571249961853
110,pandem,0.7184622287750244,highli,0.9924083352088928
111,case,0.7184421420097351,acid,0.9922584295272827
112,high,0.7184160351753235,public,0.9921482801437378
113,coronavirus,0.7183862924575806,evid,0.9920877814292908
114,genom,0.7183650732040405,compar,0.9920858144760132
115,ace2,0.7183030247688293,reservoir,0.9920554161071777
116,method,0.718215823173523,unknown,0.9919717311859131
117,tree,0.7182146906852722,rel,0.9919110536575317
118,specif,0.7181751728057861,ident,0.9919096231460571
119,amino,0.7181198596954346,site,0.9918884038925171
120,bind,0.7180898189544678,known,0.9916718006134033
121,data,0.7180836200714111,name,0.9916499257087708
122,health,0.7180624008178711,need,0.991638720035553
123,fusion,0.7179604768753052,possibl,0.9916279315948486
124,emerg,0.7177459597587585,exist,0.9915913343429565
125,speci,0.7177457809448242,decemb,0.9913729429244995
126,base,0.7177249789237976,addit,0.9909664988517761
127,protein,0.7176886796951294,rna,0.9909566640853882
128,coronaviru,0.7176733016967773,region,0.9909201264381409
129,transmiss,0.717653751373291,select,0.9908931851387024
130,need,0.7176464796066284,organ,0.99086594581604
131,found,0.7175540924072266,mer,0.9907983541488647
132,huanan,0.7174878716468811,control,0.9907268285751343
133,subsequ,0.7174841165542603,outsid,0.9906324148178101
134,phylogenet,0.7173910140991211,domain,0.9906182289123535
135,clinic,0.7172679901123047,syndrom,0.9905962944030762
136,use,0.7170719504356384,signific,0.9905303716659546
137,help,0.7169891595840454,first,0.9904772043228149
138,demonstr,0.7168503999710083,well,0.990472674369812
139,potenti,0.7168132066726685,initi,0.9903985261917114
140,mer,0.7167462706565857,rate,0.9903205633163452
141,vaccin,0.7166898250579834,cpg,0.9902997016906738
142,epidem,0.7166131734848022,posit,0.9900931119918823
143,play,0.7165769338607788,understand,0.9900561571121216
144,rate,0.7164700031280518,found,0.9900469779968262
145,interact,0.7164268493652344,provinc,0.989961564540863
146,sever,0.7163006663322449,role,0.989954948425293
147,ratg13,0.7162578105926514,still,0.9899018406867981
148,artifici,0.7162240743637085,common,0.9897980690002441
149,individu,0.7161682844161987,present,0.9896987676620483
150,wuhan,0.7161315679550171,specif,0.989672839641571
151,treatment,0.7161158919334412,molecular,0.9896029233932495
152,includ,0.716115415096283,major,0.9895870685577393
153,identifi,0.7161051034927368,featur,0.9895697832107544
154,follow,0.7160699963569641,acut,0.9895258545875549
155,viral,0.7158632278442383,appear,0.989499032497406
156,domain,0.7157992720603943,east,0.9894884824752808
157,cardiovascular,0.7156747579574585,type,0.9894633889198303
158,10,0.7156451344490051,concern,0.9894110560417175
159,signific,0.7154364585876465,ratg13,0.98935866355896
160,last,0.715358555316925,cough,0.9893136620521545
161,betacoronaviru,0.7153218984603882,method,0.9892210960388184
162,differ,0.7152933478355408,low,0.9892021417617798
163,cov,0.7152843475341797,variou,0.9889876842498779
164,support,0.7152366638183594,2,0.9889209270477295
165,pangolin,0.7151983976364136,worldwid,0.9888858199119568
166,rel,0.7151955366134644,mechan,0.9888589382171631
167,import,0.7151907682418823,therapeut,0.9886835813522339
168,insight,0.7151817083358765,progress,0.988528311252594
169,combin,0.7150424718856812,strategi,0.9885060787200928
170,receptor,0.7149261236190796,evolv,0.9883284568786621
171,host,0.7147440910339355,import,0.9882928133010864
172,evolutionari,0.714480996131897,relat,0.9880642890930176
173,coronavirida,0.7144801616668701,humantohuman,0.9879888892173767
174,cov2,0.7144691944122314,predict,0.9879703521728516
175,addit,0.7144227027893066,could,0.9878447651863098
176,key,0.7143872380256653,due,0.9878392815589905
177,system,0.7143456935882568,group,0.987831711769104
178,countri,0.7143228054046631,measur,0.9877907037734985
179,context,0.7142361402511597,sampl,0.9877836108207703
180,infecti,0.7142324447631836,seafood,0.9876883029937744
181,initi,0.7140756845474243,detect,0.9876593351364136
182,intermedi,0.7139996290206909,follow,0.9876239895820618
183,sinc,0.7139842510223389,contain,0.9875926375389099
184,time,0.7138060331344604,entri,0.9875729084014893
185,caus,0.7136986255645752,commun,0.9875641465187073
186,well,0.713693380355835,rapid,0.9875437021255493
187,contain,0.7136574983596802,among,0.9874145984649658
188,peopl,0.7136145830154419,network,0.9874001741409302
189,evalu,0.713601291179657,thu,0.9873636364936829
190,featur,0.7134859561920166,target,0.9873319268226624
191,could,0.7134442925453186,affect,0.9871746897697449
192,short,0.7134218215942383,famili,0.9871072769165039
193,year,0.7134006023406982,biolog,0.9870272874832153
194,name,0.7133926153182983,middl,0.9869797825813293
195,provid,0.7131679058074951,sinc,0.9869356155395508
196,fever,0.7131459712982178,find,0.9868783354759216
197,would,0.7131382822990417,last,0.9867979884147644
198,rout,0.7129257917404175,market,0.9867941737174988
199,ongo,0.7129234075546265,sourc,0.986778736114502
200,evolut,0.712874174118042,indic,0.9867286682128906
201,date,0.7128222584724426,rang,0.9864217638969421
202,occur,0.7127279043197632,tree,0.986417293548584
203,glycoprotein,0.7127232551574707,chines,0.9862344861030579
204,outbreak,0.7126953601837158,year,0.9860069751739502
205,cleavag,0.7126814126968384,approach,0.985953688621521
206,unfortun,0.7125509977340698,respons,0.985877513885498
207,reveal,0.7124505043029785,rout,0.9856396913528442
208,similar,0.7124106884002686,might,0.9856059551239014
209,due,0.7123186588287354,cellular,0.985508918762207
210,humantohuman,0.712193489074707,citi,0.9852282404899597
211,still,0.7120887041091919,fever,0.9851611256599426
212,lung,0.7117538452148438,individu,0.9848829507827759
213,immun,0.7117466330528259,one,0.9848781824111938
214,measur,0.7116518020629883,practic,0.9845876693725586
215,citi,0.7116330862045288,increas,0.9842124581336975
216,transmit,0.7115615606307983,gener,0.9841549396514893
217,east,0.7115584015846252,facilit,0.9834884405136108
218,posit,0.7115218639373779,evolutionari,0.9830262064933777
219,strain,0.7114332318305969,hcov,0.9829890131950378
220,share,0.7113364338874817,homolog,0.9828783273696899
221,importantli,0.7112389802932739,conclus,0.982831597328186
222,outsid,0.7112155556678772,immun,0.9827722311019897
223,natur,0.7109826803207397,although,0.982772171497345
224,merscov,0.7109077572822571,chang,0.9825891852378845
225,seafood,0.710513710975647,receptorbind,0.9824607968330383
226,structur,0.7103858590126038,fusion,0.9823014140129089
227,research,0.7103825807571411,system,0.982270359992981
228,isol,0.7103711366653442,intern,0.9818772077560425
229,read,0.710303783416748,enzym,0.9818291664123535
230,strategi,0.7101696133613586,share,0.9817362427711487
231,sar,0.7101283669471741,support,0.9816717505455017
232,close,0.7100621461868286,perform,0.9813418388366699
233,cough,0.710038423538208,uniqu,0.9810962677001953
234,dog,0.7099283933639526,hubei,0.9809011220932007
235,site,0.7098363041877747,event,0.9808516502380371
236,tract,0.709791898727417,set,0.9808433055877686
237,characterist,0.7096477746963501,key,0.9807871580123901
238,detect,0.7095836997032166,lung,0.9804112911224365
239,franc,0.7093545198440552,much,0.9802207946777344
240,highli,0.7092956304550171,especi,0.9801336526870728
241,bat,0.7092608213424683,accord,0.9801336526870728
242,acid,0.7092276811599731,cardiovascular,0.9801321029663086
243,syndrom,0.7092170715332031,obtain,0.9799597263336182
244,proteas,0.7091102600097656,popul,0.9797807931900024
245,previou,0.7090327739715576,design,0.9797109365463257
246,evid,0.7089078426361084,occur,0.9794931411743164
247,public,0.7088412046432495,tract,0.9794049859046936
248,howev,0.7086971998214722,test,0.9793248176574707
249,accord,0.7086465358734131,associ,0.9793134927749634
250,although,0.7084453105926514,futur,0.9791882634162903
251,virus,0.7084400057792664,person,0.9791638255119324
252,acut,0.7081606388092041,itali,0.9791411757469177
253,anim,0.7081054449081421,earli,0.9791052937507629
254,sarbecoviru,0.7080127596855164,util,0.9790269136428833
255,middl,0.7079495191574097,analyz,0.9788986444473267
256,assay,0.7078590393066406,underli,0.9788876175880432
257,investig,0.7077680230140686,us,0.9786736965179443
258,respiratori,0.7073350548744202,loop,0.9783756732940674
259,thu,0.707272469997406,genu,0.9781396389007568
260,select,0.7072665095329285,variat,0.9781043529510498
261,understand,0.7071890830993652,shown,0.977929413318634
262,continu,0.707161545753479,exhibit,0.9777436256408691
263,risk,0.70676189661026,within,0.9776991009712219
264,prevent,0.7066889405250549,end,0.9776370525360107
265,closest,0.7065989971160889,previou,0.977583646774292
266,mortal,0.7063600420951843,previous,0.9772554039955139
267,previous,0.7063008546829224,remain,0.9771991968154907
268,death,0.7062389254570007,put,0.9771080613136292
269,target,0.7061049938201904,cluster,0.9768811464309692
270,reservoir,0.7059723138809204,articl,0.9764866828918457
271,one,0.7058893442153931,total,0.976410984992981
272,molecular,0.7058626413345337,yet,0.9764103889465332
273,trial,0.7058566808700562,insight,0.9761789441108704
274,third,0.7057458162307739,day,0.975894033908844
275,ancestor,0.7057269811630249,gene,0.975501298904419
276,despit,0.7057090401649475,etiolog,0.9754173159599304
277,belong,0.7056890726089478,interact,0.9752860069274902
278,substitut,0.7056248784065247,read,0.9752132892608643
279,2003,0.7055495977401733,final,0.9751509428024292
280,group,0.7054506540298462,deriv,0.9751125574111938
281,compar,0.7054287195205688,belong,0.975079357624054
282,current,0.7053293585777283,level,0.9750161170959473
283,number,0.7051874399185181,extrem,0.9749817848205566
284,entri,0.705007791519165,februari,0.97477787733078
285,epidemiolog,0.7050047516822815,treat,0.9747372269630432
286,presenc,0.7048979997634888,closest,0.9744024872779846
287,laboratori,0.7047106027603149,trial,0.9743793606758118
288,activ,0.7046917080879211,summar,0.9740698337554932
289,approach,0.7046369314193726,contact,0.9739977121353149
290,perform,0.7046208381652832,start,0.9737279415130615
291,rhinolophu,0.7045673131942749,glycoprotein,0.9736478924751282
292,ev,0.7044434547424316,replic,0.973548948764801
293,significantli,0.7044384479522705,despit,0.9734722375869751
294,examin,0.7042999267578125,lead,0.9733328223228455
295,trace,0.704085111618042,ill,0.9728971123695374
296,summar,0.70401930809021,diagnosi,0.972861111164093
297,control,0.7039834260940552,factor,0.9727379083633423
298,set,0.7039616703987122,short,0.9726071357727051
299,cluster,0.7037707567214966,ongo,0.9724690318107605
300,type,0.7037015557289124,inform,0.9721299409866333
301,larg,0.7036747336387634,identif,0.9720402956008911
302,model,0.7036589980125427,scientif,0.9718091487884521
303,obtain,0.7036573886871338,2012,0.9716023206710815
304,role,0.7032653093338013,sarbecoviru,0.9713200330734253
305,low,0.7032274007797241,ev,0.9712398648262024
306,relat,0.7031283378601074,larg,0.9711397886276245
307,find,0.7029694318771362,januari,0.9709749817848206
308,underli,0.70293128490448,basic,0.9707850217819214
309,predict,0.7028576731681824,direct,0.9706971645355225
310,util,0.7028351426124573,proteas,0.9706255197525024
311,except,0.7024996280670166,trace,0.9705139994621277
312,subgenu,0.7024551630020142,evalu,0.9703205823898315
313,respect,0.7022316455841064,histori,0.9702951908111572
314,rna,0.7021868824958801,determin,0.9699574708938599
315,recombin,0.7021819353103638,probabl,0.9699194431304932
316,newli,0.7020342350006104,analys,0.9698561429977417
317,person,0.701958417892456,furthermor,0.9696377515792847
318,increas,0.7018643617630005,10,0.9692567586898804
319,variat,0.701775848865509,rapidli,0.9690952301025391
320,enzym,0.7014811038970947,subgenu,0.9690598249435425
321,analys,0.7014150619506836,recombin,0.9689821600914001
322,itali,0.7014017701148987,mild,0.9689599275588989
323,valu,0.7012059688568115,examin,0.9686055779457092
324,cell,0.7010982036590576,dyspnea,0.9683555364608765
325,estim,0.700843334197998,limit,0.9681079387664795
326,network,0.7008195519447327,implic,0.9679750204086304
327,29,0.7006992101669312,three,0.9679713249206543
328,inform,0.7006571292877197,subsequ,0.9678260087966919
329,rapid,0.7006329894065857,comparison,0.9676545858383179
330,relationship,0.7006149291992188,asia,0.9674022197723389
331,event,0.700508713722229,usag,0.9673994779586792
332,widespread,0.7005029916763306,five,0.967369556427002
333,hubei,0.7004431486129761,discuss,0.9672252535820007
334,exhibit,0.7003326416015625,huanan,0.9671539068222046
335,etiolog,0.7002499103546143,activ,0.9670941233634949
336,test,0.7001299858093262,mortal,0.9669201374053955
337,earli,0.6996815800666809,impact,0.9669162631034851
338,affect,0.6992813348770142,would,0.9667709469795227
339,cross,0.6989425420761108,whole,0.9667649269104004
340,mechan,0.6988752484321594,quarantin,0.966532826423645
341,confer,0.6988269686698914,mutat,0.9659335017204285
342,five,0.6988222599029541,explor,0.9659201502799988
343,metametagenom,0.6986663341522217,widespread,0.9656566381454468
344,identif,0.6986620426177979,serv,0.9654297232627869
345,loop,0.6984701752662659,rhinolophu,0.9654266238212585
346,lower,0.6984524726867676,rbd,0.9653953909873962
347,unknown,0.6984423398971558,less,0.9652480483055115
348,futur,0.6983764171600342,access,0.9651132225990295
349,scientif,0.6983109712600708,care,0.9650769233703613
350,full,0.6979374885559082,context,0.9650521874427795
351,within,0.6978607773780823,million,0.9650202989578247
352,breath,0.697790265083313,suspect,0.9650028944015503
353,elderli,0.6974814534187317,live,0.9647363424301147
354,x.,0.697324275970459,batcov,0.9646422863006592
355,observ,0.6972987651824951,question,0.9641565680503845
356,shown,0.6972216963768005,except,0.9640575051307678
357,indic,0.6970352530479431,adapt,0.9640573859214783
358,rang,0.6968692541122437,importantli,0.9637075066566467
359,final,0.6968424320220947,assay,0.9632324576377869
360,respons,0.6967248916625977,therefor,0.9632062911987305
361,might,0.6966704726219177,search,0.9629968404769897
362,horsesho,0.696375846862793,cleavag,0.9628738164901733
363,diverg,0.696183979511261,bayesian,0.9627205729484558
364,treat,0.6960101127624512,sarsrel,0.9618217349052429
365,purifi,0.6959375739097595,medic,0.9615786671638489
366,virolog,0.6959371566772461,lower,0.9615371227264404
367,success,0.6959080100059509,characterist,0.9612223505973816
368,distinct,0.6957795023918152,environment,0.9610912799835205
369,lineag,0.69539874792099,ancestor,0.9609909057617188
370,comparison,0.6953302621841431,observ,0.9608612060546875
371,seriou,0.6949377059936523,coronavirida,0.960730791091919
372,databas,0.69484543800354,2002,0.9593522548675537
373,impact,0.6946476697921753,remdesivir,0.9592282772064209
374,tool,0.6946174502372742,even,0.9586077928543091
375,ident,0.6945186853408813,date,0.9583898186683655
376,s2,0.6943871378898621,requir,0.958243727684021
377,difficulti,0.6942627429962158,transfer,0.957963228225708
378,focus,0.6942586898803711,confer,0.9578359723091125
379,probabl,0.6939592361450195,condit,0.9572693705558777
380,taken,0.6939343214035034,signal,0.9568813443183899
381,2012,0.6939043402671814,take,0.9568149447441101
382,genu,0.6938313841819763,multipl,0.9566732048988342
383,asia,0.693759560585022,properti,0.9564717411994934
384,lead,0.6937503814697266,wild,0.9563252329826355
385,signal,0.6934854984283447,databas,0.9561492204666138
386,like,0.6934688091278076,presenc,0.9560703039169312
387,span,0.6934080719947815,pathogenesi,0.9553831219673157
388,design,0.6932858228683472,tissu,0.9550726413726807
389,commun,0.6932655572891235,codon,0.9540392160415649
390,gastrointestin,0.6930765509605408,allow,0.9540226459503174
391,advanc,0.6927021741867065,estim,0.9539980292320251
392,allow,0.692441999912262,relationship,0.9538261890411377
393,bayesian,0.6924098134040833,civet,0.9536365270614624
394,much,0.6921263337135315,fatigu,0.9529352188110352
395,farm,0.6920571327209473,defici,0.952880322933197
396,replic,0.691973090171814,expans,0.9522807598114014
397,intermediari,0.6919662952423096,social,0.9522765874862671
398,23,0.6918829679489136,2003,0.9520391821861267
399,comprehens,0.6917237043380737,artifici,0.951956570148468
400,basic,0.6915583610534668,order,0.9519451856613159
401,factor,0.6914784908294678,diverg,0.9517346620559692
402,gene,0.6912086009979248,success,0.951728880405426
403,facilit,0.6910749673843384,focus,0.9515118598937988
404,combat,0.6909810304641724,fatal,0.9514572024345398
405,remdesivir,0.6909233927726746,seven,0.9513590335845947
406,implic,0.6908267736434937,carrier,0.9507956504821777
407,remain,0.6906505227088928,involv,0.9506425857543945
408,associ,0.690462052822113,period,0.950514554977417
409,believ,0.6903700828552246,virolog,0.9503148198127747
410,extrem,0.6902028918266296,angiotensinconvert,0.9500240087509155
411,possibl,0.6900438070297241,batslcovzc45,0.9500135183334351
412,becom,0.6898379921913147,collect,0.9497582912445068
413,limit,0.6895908713340759,respect,0.9495182037353516
414,expans,0.6895014047622681,wholesal,0.9492441415786743
415,βcoronaviru,0.6884238719940186,dental,0.9490869045257568
416,chines,0.6883810758590698,along,0.9488753080368042
417,wherea,0.6880098581314087,risk,0.9488301277160645
418,whole,0.6877920627593994,circul,0.9488181471824646
419,determin,0.6872360706329346,comprehens,0.9487560987472534
420,diagnosi,0.6870076656341553,literatur,0.9481180310249329
421,properti,0.6865872144699097,aspect,0.9481162428855896
422,experienc,0.6864340901374817,later,0.9478234648704529
423,phylogenom,0.6862296462059021,distinct,0.946710467338562
424,bodi,0.6859054565429688,combin,0.9465116262435913
425,open,0.6857767105102539,around,0.9464585781097412
426,progress,0.6857143044471741,gastrointestin,0.9461922645568848
427,yet,0.6853969693183899,lineag,0.9458916187286377
428,pathogenesi,0.6853334903717041,orf,0.9457696080207825
429,knowledg,0.6846189498901367,experienc,0.9456089735031128
430,geograph,0.6844730377197266,significantli,0.9453073143959045
431,residu,0.6844316720962524,learn,0.9449974298477173
432,author,0.6843018531799316,kill,0.9446195960044861
433,subject,0.6842845678329468,dri,0.9445191025733948
434,three,0.684185802936554,r0,0.944215714931488
435,interferon,0.684083878993988,accompani,0.9441632032394409
436,even,0.6839169263839722,metagenom,0.944084644317627
437,us,0.683814525604248,line,0.9436709880828857
438,take,0.6837644577026367,15,0.943291425704956
439,late,0.6836668252944946,bodi,0.9432566165924072
440,ecosystem,0.6835427284240723,link,0.9427971839904785
441,agricultur,0.6835231184959412,brief,0.9427579045295715
442,start,0.6833203434944153,23,0.9427322149276733
443,31,0.6832698583602905,al,0.9427139759063721
444,mysteri,0.6831907033920288,relev,0.9427124261856079
445,provinc,0.6830138564109802,barrier,0.9425725936889648
446,align,0.6830089688301086,transmit,0.9420336484909058
447,call,0.6830089688301086,laboratori,0.9420043230056763
448,block,0.6828739643096924,decad,0.9416935443878174
449,plan,0.6823179125785828,βcoronaviru,0.9416287541389465
450,liu,0.6822983026504517,asymptomat,0.941556453704834
451,conclud,0.6822676658630371,cold,0.941321074962616
452,option,0.6820588111877441,higher,0.9413163661956787
453,live,0.6816917061805725,substitut,0.9409582018852234
454,main,0.6816028952598572,open,0.9408806562423706
455,mild,0.6814736723899841,updat,0.9408359527587891
456,januari,0.681464672088623,becom,0.9406547546386719
457,taxonomi,0.6814299821853638,call,0.9404410719871521
458,stat1,0.6813329458236694,ancestr,0.9401167035102844
459,dyspnea,0.6813029646873474,surveil,0.9399745464324951
460,wholegenom,0.6805645227432251,environ,0.9399459362030029
461,proteom,0.6804643869400024,s2,0.9398033618927002
462,ifn,0.6804538369178772,third,0.9394832253456116
463,defici,0.6804376840591431,branch,0.9392900466918945
464,season,0.6803809404373169,residu,0.9386963844299316
465,next,0.680342972278595,contribut,0.9376528263092041
466,codon,0.6801634430885315,attent,0.9374628663063049
467,urgent,0.6801252365112305,cytokin,0.9370752573013306
468,ill,0.6799157857894897,plan,0.937067449092865
469,committe,0.6797885298728943,proteom,0.9368007183074951
470,across,0.6790916919708252,background,0.936745285987854
471,nucleotid,0.6790690422058105,novemb,0.9363248348236084
472,requir,0.6790377497673035,snake,0.9354932308197021
473,multipl,0.6790227890014648,divers,0.9353519678115845
474,batslcovzc45,0.6786636114120483,interfac,0.9353045225143433
475,haplotyp,0.6785144805908203,calcul,0.9352564811706543
476,sarsrel,0.678459107875824,scienc,0.934838593006134
477,carrier,0.6777594685554504,consid,0.9347485303878784
478,adapt,0.6776415109634399,challeng,0.9346145391464233
479,end,0.6774066686630249,interferon,0.9344644546508789
480,decad,0.677108883857727,infecti,0.9344252943992615
481,usag,0.6769796013832092,demonstr,0.9344083070755005
482,later,0.6768850088119507,length,0.9343233108520508
483,daili,0.6767815947532654,appli,0.9340124726295471
484,analyz,0.6766757965087891,overview,0.9333205223083496
485,agent,0.6765480041503906,wherea,0.9329187273979187
486,challeng,0.6765401363372803,dog,0.9323548674583435
487,brief,0.676175057888031,newli,0.9321582317352295
488,mutat,0.6760410070419312,throughout,0.9321424961090088
489,seven,0.6759043335914612,late,0.9317055940628052
490,month,0.6756342649459839,part,0.9314262270927429
491,learn,0.6755361557006836,option,0.9312984943389893
492,along,0.6754468679428101,expect,0.9309808611869812
493,batcovratg13,0.6749414801597595,storm,0.9305865168571472
494,nation,0.6744949817657471,next,0.93038010597229
495,built,0.6744663715362549,31,0.9301729202270508
496,kill,0.6744170188903809,complic,0.92998868227005
497,ncbi,0.6740182638168335,built,0.9299349784851074
498,aspect,0.6739692687988281,conclud,0.9297937154769897
499,be,0.6738672256469727,neg,0.929758608341217
500,transfer,0.6738227605819702,seventh,0.9297382831573486
501,batcov,0.6737964749336243,led,0.9293534755706787
502,fatigu,0.6734904646873474,rbm,0.9286862015724182
503,surveil,0.6734717488288879,convalesc,0.92824387550354
504,less,0.6734001636505127,horsesho,0.9279989004135132
505,loss,0.6732985377311707,inhibitor,0.9279186725616455
506,b.,0.6730161905288696,nation,0.9276971817016602
507,critic,0.6729342341423035,highlight,0.9270612001419067
508,novemb,0.672762393951416,span,0.927025318145752
509,suffici,0.6726605296134949,situat,0.9269319772720337
510,primari,0.672574520111084,handl,0.9267700910568237
511,consid,0.6723538637161255,abil,0.9266341924667358
512,convalesc,0.6718438863754272,align,0.926476776599884
513,involv,0.6717222929000854,valu,0.9264125823974609
514,tissu,0.6715577840805054,franc,0.9259544610977173
515,wild,0.6713283658027649,certain,0.9258514642715454
516,ancestr,0.6712535619735718,object,0.9257717132568359
517,hypothes,0.6712501049041748,x.,0.9256935715675354
518,explor,0.6710695028305054,haplotyp,0.9255577325820923
519,orf,0.6703283190727234,taxonomi,0.9249312281608582
520,batslcovzxc21,0.6702761054039001,orf8,0.9248514175415039
521,latter,0.6701524257659912,across,0.9241877794265747
522,branch,0.6694656014442444,state,0.9241076707839966
523,appli,0.6694560647010803,temperatur,0.9238008856773376
524,keyword,0.6689263582229614,recognit,0.9235013723373413
525,wholesal,0.6688872575759888,numer,0.923397421836853
526,line,0.6687492728233337,disord,0.923380970954895
527,c,0.6686197519302368,decreas,0.9231458902359009
