,ct,cos,covid19,cos
54,transmiss,0.9921087622642517,time,0.9992295503616333
55,search,0.9920960068702698,australia,0.9992230534553528
56,analyz,0.9920874834060669,confirm,0.9992220401763916
57,high,0.9920836687088013,number,0.9992179274559021
58,trial,0.9920835494995117,mani,0.9992070198059082
59,respons,0.9920768737792969,evid,0.9992043972015381
60,measur,0.9920764565467834,howev,0.9992029666900635
61,covid19,0.9920762777328491,affect,0.9991958737373352
62,procedur,0.9920729398727417,declar,0.9991897344589233
63,intern,0.9920603632926941,provinc,0.9991841316223145
64,provid,0.992060124874115,outbreak,0.9991787075996399
65,design,0.9920593500137329,progress,0.9991774559020996
66,hubei,0.9920560717582703,merscov,0.9991733431816101
67,may,0.9920539855957031,diseas,0.999172568321228
68,ill,0.9920535683631897,children,0.9991680383682251
69,new,0.9920498132705688,well,0.9991667866706848
70,public,0.992043137550354,import,0.9991627931594849
71,situat,0.9920386672019958,intern,0.9991536140441895
72,lead,0.9920368790626526,consid,0.9991380572319031
73,method,0.9920339584350586,suspect,0.9991199970245361
74,although,0.9920239448547363,sarscov,0.9991192817687988
75,confirm,0.9920079708099365,wuhan,0.9991191625595093
76,pneumonia,0.9920066595077515,situat,0.9991163611412048
77,countri,0.9920059442520142,high,0.9991134405136108
78,manifest,0.9920059442520142,pathogenesi,0.9991060495376587
79,past,0.9920048713684082,rang,0.9991046190261841
80,common,0.992000162601471,control,0.9991022348403931
81,februari,0.9919930100440979,2020,0.9990975856781006
82,bat,0.9919906854629517,knowledg,0.9990946054458618
83,pathogen,0.9919857978820801,use,0.9990935921669006
84,concern,0.9919853806495667,seriou,0.9990884065628052
85,refer,0.9919779896736145,research,0.9990875124931335
86,rang,0.9919763207435608,due,0.9990785717964172
87,progress,0.9919744729995728,inform,0.9990767240524292
88,infect,0.991966724395752,common,0.9990739822387695
89,gene,0.9919638633728027,relat,0.9990738034248352
90,option,0.9919434785842896,overal,0.9990658760070801
91,sampl,0.9919402599334717,risk,0.9990655779838562
92,cov,0.9919391870498657,peopl,0.9990646839141846
93,conclus,0.9919384717941284,lead,0.9990434050559998
94,1,0.9919339418411255,provid,0.9990402460098267
95,30,0.9919079542160034,although,0.9990394115447998
96,knowledg,0.9919065833091736,fever,0.9990378022193909
97,repurpos,0.9919054508209229,china,0.9990342855453491
98,also,0.9919006824493408,result,0.999032199382782
99,pathogenesi,0.9918971061706543,major,0.9990271925926208
100,occur,0.9918932914733887,medic,0.9990259408950806
101,patient,0.9918861389160156,regard,0.9990228414535522
102,affect,0.9918840527534485,manifest,0.9990147352218628
103,outcom,0.9918802380561829,intervent,0.999006986618042
104,2020,0.9918737411499023,earli,0.999003529548645
105,comorbid,0.9918604493141174,chloroquin,0.999000072479248
106,week,0.9918596148490906,rapid,0.9989975690841675
107,monitor,0.9918423891067505,contain,0.9989974498748779
108,howev,0.9918369650840759,one,0.9989877343177795
109,rapid,0.99183189868927,protein,0.9989657998085022
110,discuss,0.9918299317359924,guidelin,0.9989616870880127
111,use,0.9918270111083984,base,0.998955249786377
112,well,0.9918263554573059,two,0.9989524483680725
113,control,0.9918211698532104,hubei,0.9989498257637024
114,specif,0.9918200969696045,efficaci,0.9989430904388428
115,case,0.9918195009231567,host,0.9989416003227234
116,comput,0.9918174147605896,increas,0.9989389181137085
117,appear,0.9918162822723389,conclus,0.9989376068115234
118,known,0.9918142557144165,genet,0.9989352226257324
119,fever,0.9918100833892822,also,0.998931884765625
120,rapidli,0.9918081760406494,share,0.9989264011383057
121,viral,0.991801381111145,appear,0.9989250302314758
122,express,0.9918005466461182,differ,0.9989231824874878
123,ace2,0.9918003678321838,search,0.9989228248596191
124,determin,0.9917960166931152,unknown,0.9989210367202759
125,diagnosi,0.991794228553772,viral,0.9989105463027954
126,paper,0.9917941093444824,develop,0.9989098310470581
127,symptom,0.9917921423912048,manag,0.9989069700241089
128,consid,0.9917821288108826,popul,0.9989063143730164
129,systemat,0.991780161857605,becom,0.9989030361175537
130,sequenc,0.9917792081832886,potenti,0.9989008903503418
131,articl,0.9917784333229065,social,0.9988949298858643
132,epitop,0.991774320602417,januari,0.9988903999328613
133,attent,0.9917721152305603,could,0.998888373374939
134,around,0.9917687177658081,effect,0.9988847374916077
135,avail,0.9917631149291992,possibl,0.9988836050033569
136,characterist,0.9917594790458679,clinician,0.998880922794342
137,global,0.9917545318603516,mortal,0.9988705515861511
138,identifi,0.9917337894439697,present,0.9988700747489929
139,follow,0.9917266368865967,1,0.9988689422607422
140,associ,0.9917260408401489,sequenc,0.9988648295402527
141,one,0.9917205572128296,australian,0.9988624453544617
142,strategi,0.9917190074920654,current,0.9988566040992737
143,present,0.9917159080505371,ace2,0.9988542795181274
144,china,0.9917129874229431,compar,0.9988456964492798
145,effect,0.9917110204696655,gene,0.9988419413566589
146,exist,0.9917103052139282,februari,0.9988387823104858
147,still,0.9917031526565552,march,0.9988363981246948
148,sar,0.9917023777961731,diagnosi,0.9988344311714172
149,sarscov2,0.9916976690292358,nation,0.9988332986831665
150,sarscov,0.9916950464248657,systemat,0.9988322257995605
151,4,0.9916942119598389,decemb,0.9988199472427368
152,agent,0.9916938543319702,hospit,0.9988173246383667
153,might,0.9916912317276001,refer,0.998812198638916
154,diagnost,0.9916900396347046,95,0.9988062381744385
155,find,0.9916864633560181,variou,0.9988055229187012
156,1900,0.9916860461235046,individu,0.9988015294075012
157,march,0.9916839003562927,11,0.9987994432449341
158,health,0.9916689395904541,find,0.9987975358963013
159,safeti,0.9916677474975586,lung,0.9987955093383789
160,googl,0.9916672706604004,analysi,0.9987949132919312
161,hydroxychloroquin,0.9916672706604004,diabet,0.9987932443618774
162,activ,0.9916660785675049,help,0.9987930059432983
163,system,0.991661548614502,1900,0.998790442943573
164,origin,0.9916486144065857,care,0.9987794756889343
165,adult,0.9916458129882812,across,0.9987778067588806
166,share,0.9916384220123291,cell,0.9987775087356567
167,late,0.9916332960128784,describ,0.9987733364105225
168,children,0.9916326403617859,therapeut,0.9987701177597046
169,highlight,0.991629958152771,recommend,0.9987699389457703
170,databas,0.9916278123855591,specif,0.9987637996673584
171,summar,0.9916162490844727,effort,0.9987624883651733
172,peopl,0.9916120171546936,success,0.9987620115280151
173,third,0.9916106462478638,design,0.9987572431564331
174,becom,0.991606593132019,2019ncov,0.9987565279006958
175,fight,0.9916059970855713,agent,0.9987543225288391
176,therapeut,0.9916059970855713,n,0.998751163482666
177,addit,0.9916058778762817,issu,0.9987452626228333
178,futur,0.9916021227836609,month,0.998741090297699
179,keyword,0.9916020631790161,ongo,0.9987281560897827
180,understand,0.9915953278541565,cough,0.9987249374389648
181,infecti,0.9915951490402222,among,0.998722493648529
182,advanc,0.9915940761566162,third,0.9987108707427979
183,need,0.991592288017273,trial,0.9987046122550964
184,cell,0.9915848970413208,understand,0.9987044334411621
185,provinc,0.9915841221809387,activ,0.9987016320228577
186,relat,0.9915738701820374,newli,0.9987014532089233
187,test,0.9915623068809509,gastrointestin,0.9986949563026428
188,close,0.991562008857727,object,0.9986932277679443
189,topic,0.991560697555542,later,0.9986914396286011
190,evalu,0.991557240486145,summar,0.9986904859542847
191,recommend,0.991553544998169,evalu,0.9986898899078369
192,involv,0.9915508031845093,test,0.9986860752105713
193,age,0.9915494918823242,highlight,0.9986860156059265
194,help,0.991543710231781,hcq,0.9986758232116699
195,issu,0.9915400147438049,avail,0.9986744523048401
196,seen,0.9915395975112915,data,0.9986740350723267
197,comprehens,0.9915300607681274,discuss,0.9986715316772461
198,show,0.9915274381637573,measur,0.9986683130264282
199,quickli,0.9915253520011902,cytokin,0.9986664056777954
200,main,0.9915239810943604,better,0.9986664056777954
201,suggest,0.9915212988853455,complic,0.9986650943756104
202,detect,0.9915182590484619,exist,0.9986544847488403
203,far,0.9915124177932739,bat,0.9986534118652344
204,name,0.9915041923522949,databas,0.9986510276794434
205,diseas,0.9915041327476501,mechan,0.9986486434936523
206,virolog,0.9915040731430054,middl,0.9986410737037659
207,unknown,0.991499662399292,close,0.998640775680542
208,featur,0.9914973378181458,show,0.9986401796340942
209,clinic,0.9914946556091309,target,0.9986350536346436
210,prevent,0.9914903044700623,system,0.9986333847045898
211,earli,0.9914774894714355,contact,0.9986299276351929
212,outbreak,0.9914757013320923,19,0.9986279606819153
213,cough,0.9914730787277222,environ,0.9986246824264526
214,australian,0.9914547801017761,immun,0.9986194968223572
215,hospit,0.9914462566375732,analyz,0.9986166954040527
216,structur,0.9914404153823853,requir,0.9986087679862976
217,ci,0.991436779499054,diagnost,0.9986013770103455
218,citi,0.99143385887146,paper,0.9986007809638977
219,risk,0.9914288520812988,set,0.9985990524291992
220,tweet,0.9914281368255615,studi,0.9985858201980591
221,14,0.9914258718490601,seen,0.998584508895874
222,take,0.9914228916168213,procedur,0.9985829591751099
223,literatur,0.9914206266403198,need,0.9985800981521606
224,seriou,0.9914175271987915,safeti,0.9985799789428711
225,yet,0.9914156198501587,addit,0.9985795021057129
226,merscov,0.9914117455482483,articl,0.998578667640686
227,could,0.9914107322692871,ci,0.9985738396644592
228,19,0.991405725479126,rate,0.9985696077346802
229,chloroquin,0.9913992881774902,antibodi,0.9985669255256653
230,east,0.9913952946662903,start,0.9985582828521729
231,describ,0.9913933873176575,asymptomat,0.9985551238059998
232,host,0.9913915395736694,fight,0.9985519647598267
233,seem,0.9913892149925232,call,0.9985517859458923
234,area,0.9913889169692993,suggest,0.998549222946167
235,malaria,0.9913873672485352,june,0.9985438585281372
236,individu,0.9913868308067322,involv,0.9985398054122925
237,mortal,0.9913730621337891,within,0.998537540435791
238,antibodi,0.9913710355758667,group,0.9985354542732239
239,develop,0.991370439529419,4,0.9985277652740479
240,11,0.9913606643676758,name,0.9985213279724121
241,commun,0.9913437962532043,express,0.9985193014144897
242,aim,0.9913380146026611,yet,0.9985193014144897
243,possibl,0.9913355112075806,publish,0.9985189437866211
244,wuhan,0.9913277626037598,comorbid,0.9985091686248779
245,june,0.9913198351860046,keyword,0.9985057711601257
246,pubm,0.9913195371627808,led,0.9985038638114929
247,care,0.9913089275360107,topic,0.9985036253929138
248,ongo,0.9913074970245361,found,0.9985016584396362
249,immun,0.9913027286529541,method,0.9984990358352661
250,aedt,0.9913018345832825,web,0.9984955191612244
251,transmit,0.9912991523742676,repurpos,0.9984946250915527
252,function,0.9912952780723572,strategi,0.9984933137893677
253,variou,0.991292417049408,prevent,0.9984920620918274
254,decemb,0.9912902116775513,cure,0.9984920024871826
255,eastern,0.9912763833999634,previous,0.9984878301620483
256,gener,0.9912744164466858,focus,0.9984849095344543
257,compar,0.9912729263305664,age,0.9984844326972961
258,subsequ,0.9912680387496948,citi,0.9984793663024902
259,urgent,0.9912666082382202,receptor,0.9984791874885559
260,led,0.991264820098877,standard,0.9984748363494873
261,remain,0.9912620782852173,support,0.9984729290008545
262,effort,0.9912611246109009,includ,0.9984725713729858
263,januari,0.9912567734718323,practic,0.9984678626060486
264,territori,0.991254448890686,quickli,0.9984636306762695
265,regimen,0.9912527203559875,literatur,0.9984592199325562
266,dysregul,0.9912455677986145,million,0.9984585642814636
267,diagnos,0.991227388381958,characterist,0.998457670211792
268,analysi,0.9912229776382446,level,0.9984531402587891
269,target,0.9912141561508179,acid,0.9984528422355652
270,type,0.9912079572677612,pediatr,0.9984527826309204
271,lung,0.9911997318267822,aim,0.9984469413757324
272,even,0.9911996722221375,map,0.9984405040740967
273,differ,0.9911965727806091,therapi,0.9984284043312073
274,social,0.9911854863166809,signific,0.9984230995178223
275,vaccin,0.9911850690841675,30,0.9984183311462402
276,appropri,0.9911771416664124,futur,0.9983912706375122
277,contact,0.9911695718765259,might,0.9983904361724854
278,includ,0.9911673069000244,gener,0.9983901381492615
279,acid,0.9911555051803589,10,0.9983882904052734
280,8,0.9911380410194397,diagnos,0.9983816146850586
281,95,0.9911379814147949,dysregul,0.9983803033828735
282,level,0.9911226034164429,monitor,0.9983793497085571
283,therefor,0.9911185503005981,pubm,0.9983739256858826
284,studi,0.9911160469055176,fatigu,0.9983540773391724
285,person,0.9911056756973267,determin,0.9983533620834351
286,protein,0.9911007881164551,scienc,0.998345673084259
287,applic,0.9911003708839417,implement,0.9983436465263367
288,indic,0.9910987615585327,period,0.9983432292938232
289,shown,0.9910967350006104,sampl,0.9983431696891785
290,object,0.9910953044891357,appropri,0.9983403086662292
291,pool,0.9910933375358582,initi,0.9983350038528442
292,complic,0.9910911917686462,stress,0.9983299970626831
293,group,0.9910906553268433,overview,0.998322606086731
294,across,0.9910904765129089,decad,0.9983180165290833
295,rare,0.991074800491333,crisi,0.9983161687850952
296,gastrointestin,0.9910742044448853,condit,0.9983102083206177
297,period,0.991073489189148,higher,0.9983093738555908
298,later,0.9910728931427002,stage,0.9983090162277222
299,condit,0.9910728931427002,tweet,0.9983064532279968
300,requir,0.9910719394683838,east,0.9982879161834717
301,screen,0.9910587072372437,main,0.998286783695221
302,awar,0.9910532236099243,aedt,0.9982829689979553
303,nation,0.9910517930984497,screen,0.9982699751853943
304,daylight,0.9910467863082886,take,0.9982696175575256
305,factor,0.991043210029602,15,0.9982643723487854
306,introduct,0.9910355806350708,less,0.9982613921165466
307,among,0.9910277128219604,candid,0.9982600212097168
308,mechan,0.9910100102424622,featur,0.998253345489502
309,declar,0.9910063743591309,mean,0.9982480406761169
310,remdesivir,0.9910022616386414,urgent,0.9982464909553528
311,therapi,0.9909993410110474,year,0.9982435703277588
312,way,0.9909977316856384,clinic,0.9982206225395203
313,rate,0.9909943342208862,cqhcq,0.998214840888977
314,suspect,0.9909927845001221,sever,0.9982073307037354
315,popul,0.9909857511520386,introduct,0.9982051849365234
316,previou,0.9909770488739014,action,0.998204231262207
317,signific,0.9909767508506775,begin,0.9982031583786011
318,antivir,0.9909764528274536,antivir,0.9981908798217773
319,role,0.9909716248512268,perform,0.9981896281242371
320,overview,0.9909701943397522,demonstr,0.9981718063354492
321,oper,0.9909646511077881,conduct,0.9981701374053955
322,approv,0.9909618496894836,even,0.9981651306152344
323,old,0.9909541606903076,protect,0.9981613159179688
324,er,0.9909530878067017,comput,0.9981604218482971
325,scholar,0.9909406900405884,therefor,0.9981551170349121
326,droplet,0.9909318685531616,discov,0.9981532096862793
327,globe,0.9909301400184631,option,0.9981362819671631
328,treatment,0.9909258484840393,genom,0.9981297850608826
329,assess,0.9909248352050781,media,0.9981280565261841
330,implement,0.9909247159957886,chines,0.9981179237365723
331,focus,0.9909144639968872,vaccin,0.9981133937835693
332,2019ncov,0.9909101128578186,pool,0.998108983039856
333,plasma,0.9909058809280396,ratio,0.9981080293655396
334,call,0.9908896684646606,daylight,0.9981015920639038
335,mean,0.9908837080001831,14,0.998100996017456
336,drug,0.9908827543258667,total,0.9980987906455994
337,embas,0.9908736944198608,plasma,0.9980968832969666
338,femal,0.990871250629425,user,0.9980948567390442
339,criteria,0.9908655881881714,attent,0.9980934262275696
340,genom,0.990861177444458,role,0.9980875849723816
341,better,0.9908604621887207,end,0.9980796575546265
342,publish,0.9908585548400879,googl,0.9980767965316772
343,stress,0.9908560514450073,review,0.9980762004852295
344,cytokin,0.9908441305160522,subsequ,0.9980692863464355
345,mer,0.9908298254013062,modul,0.9980677962303162
346,diabet,0.9908297061920166,epitop,0.9980640411376953
347,success,0.9908291101455688,date,0.9980597496032715
348,cure,0.9908273816108704,seem,0.9980531930923462
349,asymptomat,0.9908266663551331,adult,0.9980512857437134
350,healthcar,0.9908179044723511,combin,0.9980505108833313
351,perform,0.9908165335655212,lack,0.9980416893959045
352,n,0.9908121824264526,challeng,0.9980344772338867
353,protect,0.9908117055892944,way,0.998024046421051
354,increas,0.9908081293106079,transmit,0.9980125427246094
355,observ,0.9908016920089722,person,0.9980108141899109
356,less,0.9907997846603394,reduc,0.9979954957962036
357,mild,0.9907995462417603,eastern,0.997989296913147
358,initi,0.9907900094985962,scientif,0.9979860782623291
359,discov,0.9907854795455933,approv,0.9979803562164307
360,singl,0.9907816648483276,virolog,0.9979753494262695
361,predict,0.9907748103141785,er,0.9979713559150696
362,laboratori,0.9907625913619995,mer,0.9979710578918457
363,cqhcq,0.990760326385498,mild,0.9979506731033325
364,middl,0.9907554984092712,famili,0.9979483485221863
365,along,0.9907522797584534,continu,0.9979475736618042
366,year,0.9907405972480774,antimalari,0.9979467988014221
367,antimalari,0.9907310009002686,commun,0.9979453682899475
368,institut,0.9907298684120178,remain,0.9979404807090759
369,appli,0.9907172322273254,preval,0.9979397058486938
370,crisi,0.9907158613204956,far,0.9979388117790222
371,groundglass,0.9907107949256897,treatment,0.9979352355003357
372,surfac,0.9907071590423584,abil,0.9979053735733032
373,hcq,0.9907007217407227,alter,0.9979027509689331
374,scientif,0.9906924366950989,type,0.997887372970581
375,lack,0.9906693696975708,indic,0.9978845119476318
376,guid,0.9906657934188843,area,0.9978830814361572
377,author,0.9906609058380127,factor,0.997878909111023
378,obtain,0.9906477928161621,drug,0.9978662729263306
379,sixth,0.9906446933746338,relev,0.9978657960891724
380,investig,0.9906226396560669,investig,0.9978506565093994
381,gain,0.9906179904937744,outcom,0.9978467226028442
382,pose,0.9906065464019775,storm,0.9978418350219727
383,candid,0.9906036853790283,safe,0.9978383779525757
384,safe,0.9905851483345032,limit,0.9978257417678833
385,review,0.990578830242157,pose,0.9978162050247192
386,media,0.9905787706375122,isol,0.9978134036064148
387,physician,0.9905588030815125,observ,0.9978086948394775
388,web,0.9905557632446289,week,0.9978041648864746
389,profil,0.9905546307563782,prognosi,0.9977983236312866
390,econom,0.9905510544776917,laboratori,0.9977870583534241
391,previous,0.9905498027801514,comprehens,0.997786819934845
392,22,0.9905456304550171,morbid,0.9977836608886719
393,action,0.9905377626419067,almost,0.9977689981460571
394,closest,0.9905372262001038,lower,0.9977551698684692
395,hepat,0.9905359745025635,emphas,0.9977322816848755
396,respect,0.9905275106430054,liver,0.9977249503135681
397,decad,0.9905185103416443,3,0.9977148175239563
398,practic,0.9905081391334534,key,0.9977074861526489
399,suscept,0.9904943704605103,scholar,0.9976891279220581
400,map,0.9904631972312927,econom,0.9976875185966492
401,pediatr,0.9904608726501465,odd,0.9976851940155029
402,found,0.9904578328132629,malaria,0.9976702332496643
403,relev,0.9904466867446899,elev,0.9976645708084106
404,especi,0.990436851978302,healthcar,0.9976626634597778
405,order,0.9904311895370483,work,0.9976576566696167
406,storm,0.9904138445854187,guid,0.9976573586463928
407,abil,0.9904086589813232,surgeri,0.9976457953453064
408,demonstr,0.9904031753540039,function,0.9976430535316467
409,15,0.9903978705406189,despit,0.9976112842559814
410,exploit,0.9903944134712219,april,0.997606635093689
411,challeng,0.9903934001922607,8,0.997584879398346
412,work,0.9903271198272705,tract,0.9975690245628357
413,10,0.9903218150138855,gain,0.9975642561912537
414,date,0.9903032779693604,chest,0.9975594282150269
415,detail,0.9902979135513306,applic,0.9975578784942627
416,elev,0.9902968406677246,oper,0.9975513219833374
417,propos,0.9902949333190918,phosphat,0.9975385665893555
418,almost,0.990290641784668,conclud,0.9975351095199585
419,18,0.990286648273468,interact,0.9975301027297974
420,isol,0.9902769923210144,past,0.997520923614502
421,sever,0.9902732372283936,cours,0.9975035190582275
422,famili,0.9902610778808594,assess,0.9974908828735352
423,start,0.990257978439331,previou,0.9974765181541443
424,alter,0.9902270436286926,particularli,0.9974613189697266
425,fet,0.9902259707450867,metaanalysi,0.9974586367607117
426,interact,0.9902086853981018,immunotherapi,0.9974579811096191
427,ratio,0.9902063608169556,impact,0.9974578619003296
428,higher,0.9902021884918213,covid,0.9974565505981445
429,prognosi,0.9902015924453735,treat,0.9974477887153625
430,eg,0.9901838898658752,remdesivir,0.9974040389060974
431,reduc,0.9901774525642395,institut,0.9974021911621094
432,continu,0.9901643395423889,summari,0.997398316860199
433,lower,0.9901597499847412,structur,0.9973917007446289
434,odd,0.9901472330093384,especi,0.9973884224891663
435,scienc,0.9901391863822937,appli,0.997381865978241
436,3,0.9901391863822937,propos,0.9973502159118652
437,collect,0.9901199340820312,numer,0.9973439574241638
438,newli,0.990118145942688,rare,0.9973226189613342
439,cours,0.9901145100593567,medicin,0.9973222613334656
440,standard,0.9901121258735657,molecular,0.9972963333129883
441,total,0.9901080131530762,divers,0.9972903728485107
442,summari,0.9900954961776733,approach,0.9972811341285706
443,sore,0.9900851845741272,fatal,0.9972677826881409
444,metaanalysi,0.9900791645050049,surfac,0.9972618818283081
445,despit,0.9900788068771362,tomographi,0.9972424507141113
446,reaction,0.9900625944137573,hepat,0.9972245693206787
447,fatigu,0.9899901747703552,make,0.9972110986709595
448,newborn,0.989989697933197,old,0.9972110390663147
449,chest,0.9899895191192627,globe,0.99720698595047
450,median,0.9899849891662598,23,0.9971773624420166
451,month,0.9899729490280151,protocol,0.9971729516983032
452,receptor,0.9899632930755615,spike,0.9971685409545898
453,key,0.9899587035179138,aspect,0.9971675872802734
454,stage,0.9899497628211975,exposur,0.997163712978363
455,conduct,0.9899258613586426,singl,0.9971586465835571
456,influenc,0.9899157881736755,accord,0.9971583485603333
457,abnorm,0.9899056553840637,advanc,0.9971392750740051
458,divers,0.9899027347564697,7,0.9971235394477844
459,april,0.9898954629898071,p,0.9971076250076294
460,english,0.9898827075958252,respect,0.9971023797988892
461,million,0.9898779988288879,femal,0.9970983266830444
462,morbid,0.9898672103881836,damag,0.9970896244049072
463,lysosom,0.9898596405982971,mode,0.9970674514770508
464,support,0.9898515939712524,abnorm,0.9970663785934448
465,covid,0.9898395538330078,monoclon,0.9970589876174927
466,accord,0.9898375272750854,awar,0.997052788734436
467,bind,0.9898244142532349,rna,0.9970523715019226
468,thu,0.9898194074630737,equip,0.9970477819442749
469,releas,0.9898191690444946,droplet,0.9970309734344482
470,neurolog,0.9898173213005066,obtain,0.9970245957374573
471,chines,0.9897817373275757,28,0.9970088005065918
472,particularli,0.9897792339324951,12,0.9969985485076904
473,exposur,0.9897762537002563,sore,0.9969972968101501
474,receiv,0.9897710680961609,english,0.9969968795776367
475,experi,0.989768385887146,newborn,0.9969858527183533
476,headach,0.9897580146789551,republ,0.9969573020935059
477,emphas,0.989753246307373,angiotensinconvert,0.9969494342803955
478,point,0.9897444844245911,hundr,0.9969460964202881
479,crucial,0.9896990060806274,predict,0.9969429969787598
480,23,0.9896979331970215,viewpoint,0.996934175491333
481,critic,0.9896973371505737,commiss,0.9969273209571838
482,viewpoint,0.9896895885467529,criteria,0.9969160556793213
483,enzym,0.9896861910820007,consider,0.9969059228897095
484,commiss,0.9896777272224426,shown,0.9968887567520142
485,end,0.9896692037582397,embas,0.9968618154525757
486,treat,0.9896670579910278,author,0.9968535900115967
487,respond,0.9896662831306458,territori,0.9968532919883728
488,numer,0.9896416664123535,regimen,0.996843695640564
489,fatal,0.9896391034126282,22,0.9968430995941162
490,reduct,0.9896374940872192,fet,0.9968417882919312
491,letter,0.9896268844604492,influenc,0.9968128800392151
492,aspect,0.989587128162384,order,0.996806263923645
493,larg,0.989582359790802,reduct,0.9967905282974243
494,societi,0.9895822405815125,injuri,0.9967864751815796
495,presenc,0.9895607233047485,contamin,0.9967812299728394
496,28,0.989558219909668,univers,0.9967486262321472
497,antiinflammatori,0.9895498752593994,18,0.9967309236526489
498,tract,0.9895434975624084,societi,0.9967198371887207
499,ident,0.9895370006561279,definit,0.9967174530029297
500,henc,0.9894932508468628,oxygen,0.9967089295387268
501,make,0.9894869923591614,lopinavirritonavir,0.9967029094696045
502,7,0.98948073387146,radiolog,0.9966777563095093
503,pregnanc,0.9894763231277466,sixth,0.9966734647750854
504,updat,0.9894217848777771,enzym,0.9966610670089722
505,liver,0.9894207715988159,6,0.9966542720794678
506,cerebrovascular,0.9894062876701355,combat,0.996647298336029
507,seven,0.9894026517868042,underli,0.996639609336853
508,25,0.9893996715545654,neurolog,0.9966351985931396
509,conclud,0.9893814325332642,median,0.996634840965271
510,extract,0.9893758893013,milder,0.9966338872909546
511,combin,0.989364743232727,receiv,0.9966330528259277
512,injuri,0.9893507957458496,releas,0.9966307878494263
513,spike,0.9893496632575989,etc,0.9966201186180115
514,limit,0.9893381595611572,chronic,0.9966191649436951
515,phosphat,0.9893322587013245,distress,0.9966184496879578
516,given,0.9893282055854797,thu,0.9966152906417847
517,damag,0.9893267750740051,henc,0.996605634689331
518,distribut,0.9893101453781128,besid,0.9965646862983704
519,fluid,0.9893046617507935,extract,0.9965622425079346
520,ageold,0.9892913699150085,male,0.99654221534729
521,contamin,0.9892847537994385,sourc,0.9965330958366394
522,anim,0.9892839193344116,anim,0.9965277314186096
523,wit,0.9892797470092773,crucial,0.9965206384658813
524,mark,0.9892740249633789,profil,0.9965159296989441
525,hundr,0.9892711043357849,critic,0.9965071678161621
526,approxim,0.9892637729644775,biolog,0.9965054392814636
527,congest,0.9892599582672119,given,0.9964806437492371
528,etc,0.9892304539680481,background,0.9964568614959717
529,molecular,0.9892261028289795,examin,0.9964250326156616
530,republ,0.9892120361328125,spectrum,0.9964012503623962
531,chronic,0.9892112016677856,25,0.9963902831077576
532,failur,0.9891737699508667,surveil,0.9963876008987427
