,ct,cos,mask,cos
67,recurr,0.3066815733909607,first,0.9253346920013428
68,hospit,0.3066009283065796,asymptomat,0.92513108253479
69,surgic,0.3050934076309204,compar,0.9235798120498657
70,intend,0.30471372604370117,exposur,0.9234895706176758
71,2019ncov,0.3043971061706543,data,0.9232727885246277
72,black,0.3039671778678894,howev,0.9221678972244263
73,confirm,0.30379796028137207,conclus,0.9220680594444275
74,search,0.3035958409309387,confirm,0.9214318990707397
75,home,0.3033559322357178,provid,0.9203763008117676
76,aerosol,0.3031715154647827,emerg,0.9203099012374878
77,covid19,0.3024097681045532,2019,0.9202754497528076
78,0369,0.3023949861526489,sever,0.9197927713394165
79,knowledg,0.30230480432510376,2,0.9197437763214111
80,sampl,0.30222147703170776,knowledg,0.9176928997039795
81,worker,0.302083820104599,outbreak,0.9168428182601929
82,11,0.30206722021102905,number,0.913960337638855
83,household,0.3020375370979309,respir,0.9133647680282593
84,develop,0.3018112778663635,import,0.9124401211738586
85,demonstr,0.2998717129230499,addit,0.9113207459449768
86,symptom,0.29965776205062866,close,0.909727156162262
87,sarscov2,0.29880785942077637,surfac,0.9095150828361511
88,hold,0.29855841398239136,china,0.9094336032867432
89,intern,0.29827630519866943,increas,0.9086833596229553
90,safe,0.2982485294342041,could,0.9086424112319946
91,studi,0.29812830686569214,present,0.9084619283676147
92,glass,0.2972869277000427,set,0.9066060781478882
93,healthcar,0.29724833369255066,system,0.9061968326568604
94,hydroxychloroquin,0.297214537858963,base,0.905631422996521
95,infect,0.297122597694397,design,0.9034304618835449
96,laboratori,0.29705455899238586,swab,0.9015604257583618
97,patient,0.29684436321258545,procedur,0.9013245701789856
98,popul,0.2956134080886841,therefor,0.9013031721115112
99,mg,0.29555782675743103,viral,0.9010459184646606
100,pandem,0.2955082654953003,survey,0.9008910059928894
101,ventil,0.295337438583374,unit,0.8997867703437805
102,mask,0.29502904415130615,due,0.8997275829315186
103,29,0.2948145270347595,world,0.8989739418029785
104,spread,0.2947469651699066,acid,0.8984395861625671
105,soap,0.29467329382896423,neg,0.898218035697937
106,china,0.294572114944458,wuhan,0.897483766078949
107,base,0.29451698064804077,treatment,0.8974705934524536
108,review,0.29414138197898865,well,0.8969848155975342
109,global,0.2933081388473511,hygien,0.8969689011573792
110,believ,0.2932695150375366,equip,0.8963794708251953
111,wear,0.29323089122772217,us,0.8950802087783813
112,system,0.2932077646255493,n95,0.8946695923805237
113,emot,0.2932019829750061,complet,0.8942627906799316
114,air,0.2929898500442505,evalu,0.894230842590332
115,measur,0.29230326414108276,headlight,0.89253169298172
116,exposur,0.29200902581214905,follow,0.8918428421020508
117,oral,0.29143768548965454,requir,0.8918039202690125
118,transmit,0.29127901792526245,pcr,0.8909212350845337
119,method,0.29126331210136414,group,0.8907707333564758
120,placebo,0.29088324308395386,airborn,0.8896733522415161
121,sever,0.2906937003135681,distanc,0.889618992805481
122,peptid,0.2905467748641968,hcq,0.8885659575462341
123,hepa,0.2904735505580902,manag,0.8879772424697876
124,10,0.2902994751930237,also,0.8876907825469971
125,criteria,0.29002922773361206,period,0.8862149119377136
126,indoor,0.2897629141807556,find,0.8850873112678528
127,reason,0.28965437412261963,appear,0.88410884141922
128,data,0.28948986530303955,room,0.8840715885162354
129,effect,0.2894437909126282,acut,0.8833181858062744
130,subject,0.28938502073287964,possibl,0.8759951591491699
131,hcw,0.28909197449684143,protocol,0.874814510345459
132,protect,0.28907161951065063,therapi,0.8735416531562805
133,respect,0.2890489995479584,background,0.8735203742980957
134,york,0.2890126407146454,identifi,0.8733721375465393
135,ent,0.28888240456581116,assess,0.8729782700538635
136,case,0.28874433040618896,factor,0.8718060851097107
137,face,0.2886677384376526,new,0.8715913891792297
138,norm,0.28830334544181824,even,0.8713807463645935
139,thorough,0.2882995903491974,social,0.8707337379455566
140,unfortun,0.2881479561328888,taken,0.8706163167953491
141,organ,0.2880990505218506,neonat,0.8693780899047852
142,direct,0.28808850049972534,apc,0.8683843016624451
143,viru,0.28795957565307617,observ,0.8682094216346741
144,follow,0.28786998987197876,total,0.8682071566581726
145,high,0.2876284420490265,mother,0.8662157654762268
146,health,0.28719764947891235,respons,0.8656867742538452
147,child,0.28715547919273376,associ,0.8652030825614929
148,coronaviru,0.2871205508708954,facil,0.8646509647369385
149,1,0.28701409697532654,reduc,0.8622860908508301
150,origin,0.28679773211479187,hand,0.8614119291305542
151,full,0.28649091720581055,potenti,0.8599875569343567
152,droplet,0.28600719571113586,age,0.8583567142486572
153,transmiss,0.28595542907714844,contain,0.857478678226471
154,use,0.2855660021305084,environment,0.8559034466743469
155,test,0.2852023243904114,perform,0.8554410934448242
156,dilut,0.2851501703262329,condit,0.8544372320175171
157,put,0.28513288497924805,epitop,0.8540219068527222
158,autopsi,0.2847948670387268,decemb,0.8520017862319946
159,vaccin,0.28470340371131897,collect,0.8514975905418396
160,diseas,0.2845107913017273,shield,0.85117506980896
161,mefloquin,0.28443989157676697,death,0.8493512868881226
162,import,0.28418686985969543,worldwid,0.8476123809814453
163,untoward,0.2841780185699463,like,0.8455727696418762
164,decompress,0.28410667181015015,3,0.8442809581756592
165,41,0.2837637960910797,inform,0.8434479236602783
166,two,0.2829071581363678,ascorb,0.8430128693580627
167,relief,0.28290462493896484,epidem,0.8424122333526611
168,distanc,0.2828635275363922,two,0.8421401381492615
169,includ,0.28259652853012085,regard,0.84195876121521
170,none,0.2823599874973297,ppe,0.8418167233467102
171,704,0.2819004952907562,2019ncov,0.8415685892105103
172,complet,0.2817923426628113,household,0.8409289717674255
173,apc,0.2816723585128784,surveil,0.8404093980789185
174,occur,0.28153276443481445,aim,0.8398367166519165
175,evalu,0.281011164188385,limit,0.8387743234634399
176,1known,0.27966493368148804,type,0.8385269641876221
177,elig,0.27955618500709534,ventil,0.838489294052124
178,ongo,0.2791263461112976,avail,0.8369972109794617
179,emerg,0.27889490127563477,hydroxychloroquin,0.8369635343551636
180,56,0.2784304618835449,ci,0.836888313293457
181,particip,0.27825427055358887,object,0.8368533849716187
182,characterist,0.27740031480789185,respect,0.836027979850769
183,place,0.2772862911224365,95,0.8357453942298889
184,mice,0.27712249755859375,oral,0.8345816731452942
185,swab,0.2764866352081299,ent,0.8342714905738831
186,headlight,0.2764624357223511,countri,0.833768367767334
187,ci,0.2764148712158203,itali,0.8326557874679565
188,potenti,0.2763516306877136,rapid,0.8323166370391846
189,author,0.2763187289237976,via,0.831089973449707
190,cleans,0.2761937081813812,need,0.8307167887687683
191,due,0.276136189699173,11,0.8306531310081482
192,could,0.27607738971710205,filter,0.827966570854187
193,24th,0.2758777439594269,concern,0.8273251056671143
194,appropri,0.2752481997013092,quarantin,0.827140212059021
195,160200,0.27484121918678284,rout,0.8269305229187012
196,examin,0.27478739619255066,5,0.8265367746353149
197,polylact,0.2746083438396454,support,0.8260492086410522
198,106,0.27452778816223145,questionnair,0.824105978012085
199,block,0.2744205594062805,rate,0.8225849866867065
200,v,0.27408504486083984,implement,0.8223495483398438
201,novel,0.2740575671195984,trial,0.8218653202056885
202,support,0.27336251735687256,march,0.8201587200164795
203,observ,0.2732958495616913,drug,0.8195728659629822
204,clinic,0.272815465927124,commun,0.8164610266685486
205,prepar,0.2727324962615967,examin,0.815504252910614
206,march,0.27267754077911377,random,0.8142416477203369
207,month,0.27257052063941956,cough,0.8141663074493408
208,behavior,0.2725101113319397,screen,0.8140525817871094
209,also,0.2719048261642456,sinc,0.8139690160751343
210,human,0.2717936635017395,level,0.8128443956375122
211,defin,0.27170291543006897,month,0.8121750354766846
212,surfac,0.27153462171554565,earli,0.8114433288574219
213,3,0.27100101113319397,daili,0.8100905418395996
214,caus,0.27091914415359497,one,0.8094119429588318
215,rate,0.2709176540374756,around,0.8089644908905029
216,13,0.2707475423812866,year,0.8081992864608765
217,hand,0.2706764340400696,mg,0.8062692880630493
218,well,0.2705261707305908,investig,0.8060802221298218
219,produc,0.2698036730289459,low,0.8044497966766357
220,addit,0.2697480022907257,standard,0.8025500774383545
221,airborn,0.2696477472782135,april,0.8003652691841125
222,differ,0.26914775371551514,week,0.7975078225135803
223,public,0.26886337995529175,human,0.7974298000335693
224,posit,0.2687826156616211,14,0.7960613369941711
225,time,0.2686057686805725,ongo,0.7952519655227661
226,decemb,0.2681063413619995,occur,0.7945053577423096
227,found,0.26763635873794556,germani,0.7944174408912659
228,show,0.26757609844207764,detect,0.7925394773483276
229,routin,0.267524391412735,consid,0.7909787893295288
230,equip,0.26729053258895874,qualiti,0.7862757444381714
231,regularli,0.26711922883987427,αgal,0.7851220369338989
232,rout,0.2667812407016754,intern,0.7840373516082764
233,evid,0.2667582035064697,antig,0.7830866575241089
234,unexpect,0.2666550874710083,improv,0.780792236328125
235,procedur,0.26656466722488403,uk,0.7805479764938354
236,evolv,0.26655155420303345,10,0.7777896523475647
237,neg,0.26641327142715454,obtain,0.7773423194885254
238,cov2,0.26636791229248047,establish,0.7762254476547241
239,creu,0.26616835594177246,chang,0.773730456829071
240,moreov,0.26561278104782104,citi,0.7725477814674377
241,contain,0.26544979214668274,indic,0.7722489833831787
242,26,0.2649126350879669,especi,0.7722413539886475
243,30,0.264881432056427,member,0.7711489796638489
244,weight,0.2646673023700714,without,0.7683592438697815
245,year,0.2644058167934418,children,0.7681905031204224
246,variou,0.2641581594944,region,0.7677285075187683
247,respond,0.2637856602668762,respond,0.7659318447113037
248,mix,0.26359450817108154,outcom,0.7657691240310669
249,program,0.26322105526924133,understand,0.7650821805000305
250,major,0.262986958026886,diagnosi,0.7617400884628296
251,advanc,0.26292684674263,influenza,0.7610233426094055
252,articl,0.2626338303089142,relat,0.7604342699050903
253,person,0.2614656090736389,syndrom,0.7601560950279236
254,viral,0.2614505887031555,major,0.7600631713867188
255,without,0.26138609647750854,signific,0.7600346803665161
256,dental,0.2606157064437866,nation,0.7585266828536987
257,therapi,0.2596224546432495,inclus,0.7582535743713379
258,unit,0.2595798969268799,made,0.7552287578582764
259,identifi,0.25931957364082336,suspicion,0.7550167441368103
260,chain,0.25911739468574524,least,0.754391074180603
261,week,0.25883662700653076,specif,0.7543089985847473
262,made,0.2586148977279663,transmit,0.753685474395752
263,doserespons,0.2584311366081238,essenti,0.7525522708892822
264,age,0.2583322525024414,start,0.7522871494293213
265,set,0.2579497694969177,em,0.7521108388900757
266,intervent,0.2577568292617798,rna,0.7510465383529663
267,manag,0.25745391845703125,imposs,0.7490215301513672
268,hypothes,0.2573845684528351,antivir,0.7485553026199341
269,need,0.2570508122444153,laboratori,0.7476154565811157
270,provok,0.25679251551628113,discuss,0.7471638917922974
271,subsequ,0.2567497491836548,suppli,0.7459489107131958
272,acid,0.2567366361618042,within,0.7455346584320068
273,sampler,0.25666704773902893,ie,0.7454826235771179
274,short,0.2566283643245697,incid,0.7454426288604736
275,build,0.25621283054351807,strategi,0.7414150238037109
276,prevent,0.25561201572418213,organ,0.7393178939819336
277,news,0.25551724433898926,determin,0.7391626834869385
278,sinc,0.2554576098918915,15,0.7391554117202759
279,pcr,0.2553556561470032,none,0.738834023475647
280,combat,0.25497838854789734,problem,0.734200119972229
281,trial,0.2549760937690735,saliva,0.734136700630188
282,ethnic,0.2549629509449005,blind,0.732670247554779
283,antivir,0.2549412250518799,fever,0.732420802116394
284,primari,0.2547917068004608,contribut,0.7322350144386292
285,modern,0.25478124618530273,diagnost,0.7317041158676147
286,wuhan,0.25455939769744873,team,0.729222297668457
287,north,0.2544347643852234,found,0.7291775345802307
288,screen,0.25441065430641174,sourc,0.7284601926803589
289,via,0.2543298900127411,30,0.7281258702278137
290,exist,0.25388336181640625,variou,0.7258813977241516
291,estim,0.2536880671977997,adapt,0.7241615056991577
292,group,0.25355181097984314,accord,0.7237184643745422
293,120,0.25343385338783264,remain,0.7170040607452393
294,reduc,0.25316742062568665,epidemiolog,0.7156922817230225
295,respiratori,0.25292426347732544,must,0.7145636081695557
296,control,0.2525750696659088,popul,0.7137313485145569
297,date,0.25209593772888184,vs,0.7115423679351807
298,μgm3,0.2515326738357544,materi,0.7100059986114502
299,combin,0.25097715854644775,precaut,0.7097252607345581
300,respir,0.25091588497161865,peopl,0.7095121145248413
301,understood,0.25067421793937683,environ,0.7088877558708191
302,process,0.2506379187107086,persontoperson,0.705623984336853
303,surveil,0.2506325840950012,12,0.7034703493118286
304,valu,0.25059059262275696,mean,0.7024083137512207
305,burden,0.25037410855293274,record,0.7021785974502563
306,even,0.2501342296600342,onlin,0.7005451917648315
307,thought,0.24957633018493652,individu,0.7005397081375122
308,survey,0.24904339015483856,show,0.6994706392288208
309,filter,0.2486603707075119,glove,0.6988439559936523
310,cover,0.24856746196746826,infecti,0.6985726356506348
311,common,0.24852406978607178,affect,0.6975507736206055
312,capac,0.24847808480262756,ill,0.6956592202186584
313,persontoperson,0.24844378232955933,research,0.695252001285553
314,special,0.24830090999603271,virus,0.6947921514511108
315,histori,0.24804376065731049,februari,0.6933459639549255
316,play,0.24759286642074585,disinfect,0.6928431987762451
317,nation,0.24731551110744476,long,0.6905499696731567
318,compat,0.2469070851802826,home,0.690513014793396
319,would,0.2468026876449585,novel,0.689689040184021
320,inform,0.24676012992858887,chain,0.6895678043365479
321,car,0.24673420190811157,oper,0.6892533302307129
322,task,0.24615763127803802,higher,0.6888871192932129
323,requir,0.24586541950702667,estim,0.6886819005012512
324,children,0.2458360344171524,primari,0.6883915066719055
325,best,0.24539338052272797,indoor,0.6872498393058777
326,scan,0.24505454301834106,search,0.6860990524291992
327,individu,0.24504047632217407,safeti,0.6853877902030945
328,fulfil,0.24503302574157715,program,0.6852490901947021
329,depart,0.24418571591377258,seven,0.6851306557655334
330,77,0.24415886402130127,uptak,0.6813609600067139
331,finish,0.24413903057575226,criteria,0.6809081435203552
332,epistaxi,0.2440859079360962,life,0.6796087026596069
333,headquart,0.24365992844104767,immun,0.6793674826622009
334,115,0.2436530739068985,routin,0.6788130402565002
335,31,0.24352626502513885,full,0.6781158447265625
336,size,0.24340978264808655,older,0.6777693033218384
337,doctor,0.2432081252336502,particl,0.6758100986480713
338,ie,0.2428761124610901,short,0.672422468662262
339,influenzalik,0.2428077608346939,direct,0.6722297668457031
340,becom,0.24268923699855804,defin,0.6721208095550537
341,agent,0.2425578236579895,nasopharyng,0.6712073087692261
342,serum,0.24248072504997253,global,0.6709874868392944
343,increas,0.24242658913135529,polymeras,0.6706264019012451
344,resuscit,0.2422340214252472,situat,0.6700809001922607
345,citi,0.2417445182800293,critic,0.6699118614196777
346,solut,0.24154360592365265,filtrat,0.6697115898132324
347,treatment,0.24131792783737183,lung,0.6693637371063232
348,373ºc,0.24124300479888916,role,0.6688550114631653
349,genderdepend,0.24107836186885834,resid,0.6665846109390259
350,•,0.24107368290424347,ward,0.6659646034240723
351,asymptomat,0.24106188118457794,produc,0.6652457118034363
352,specif,0.24103416502475739,reaction,0.6648805141448975
353,howev,0.24090486764907837,attitud,0.6639280319213867
354,factor,0.2408396303653717,onset,0.6630710363388062
355,marker,0.24078971147537231,becom,0.662926197052002
356,main,0.23989593982696533,prep,0.6624115705490112
357,perform,0.23981916904449463,util,0.6612056493759155
358,countri,0.23950012028217316,particularli,0.6585819125175476
359,laparoscop,0.23937402665615082,lockdown,0.6583088636398315
360,elect,0.23929265141487122,efficaci,0.6567877531051636
361,95,0.23918461799621582,grade,0.655421257019043
362,outcom,0.2389865219593048,analys,0.6543720960617065
363,obtain,0.23865649104118347,glycanshield,0.6533511877059937
364,consid,0.2383163571357727,intens,0.6517263650894165
365,otolaryngologist,0.2382439374923706,keep,0.651631236076355
366,element,0.23799383640289307,fact,0.6515762805938721
367,eat,0.23708553612232208,build,0.6512883901596069
368,design,0.23701202869415283,issu,0.6493853330612183
369,activ,0.23623088002204895,rather,0.648505449295044
370,assay,0.23619428277015686,common,0.6474901437759399
371,cough,0.23587441444396973,letter,0.6459927558898926
372,syndrom,0.2357195019721985,exist,0.645500898361206
373,sarscov,0.23472338914871216,throat,0.6452692747116089
374,categor,0.23465722799301147,trace,0.6447716951370239
375,number,0.23426593840122223,nucleic,0.6439777612686157
376,compar,0.23387375473976135,fluid,0.6429823637008667
377,hvac,0.23371586203575134,highli,0.6425937414169312
378,sound,0.23330771923065186,failur,0.641840934753418
379,oxid,0.23304647207260132,sprotein,0.639966607093811
380,postexposur,0.2329467386007309,form,0.6398198008537292
381,close,0.2328474223613739,index,0.6394839286804199
382,complic,0.232749804854393,400,0.6388916969299316
383,govern,0.23274436593055725,live,0.6378288865089417
384,provid,0.23263387382030487,sheet,0.6371345520019531
385,em,0.23250256478786469,event,0.6370903253555298
386,lung,0.23244602978229523,consist,0.636009693145752
387,corona,0.2323479801416397,gown,0.6358377933502197
388,itali,0.23226550221443176,overal,0.632513165473938
389,april,0.2320975363254547,activ,0.6319681406021118
390,signific,0.2318667620420456,necessari,0.6313990354537964
391,influenc,0.23174405097961426,evolv,0.6298692226409912
392,7,0.2317148745059967,adult,0.629716157913208
393,injuri,0.23159338533878326,cell,0.629472017288208
394,fever,0.2310553938150406,characterist,0.6291292905807495
395,vs,0.23089715838432312,date,0.6287938952445984
396,epidem,0.2308867871761322,scan,0.6274791955947876
397,kept,0.2306138575077057,select,0.6272932887077332
398,limit,0.23035436868667603,articl,0.6272243857383728
399,mohm,0.23012001812458038,temperatur,0.6262058615684509
400,protocol,0.22986525297164917,per,0.6261746883392334
401,promot,0.2294318675994873,attent,0.6248124837875366
402,acut,0.22940242290496826,behavior,0.6247679591178894
403,hygien,0.2291761040687561,31,0.6231997013092041
404,papersdata,0.22907666862010956,access,0.6226524710655212
405,questionnair,0.22905340790748596,work,0.622188925743103
406,least,0.22881515324115753,transpar,0.6215344667434692
407,12,0.22866153717041016,cct,0.6213732957839966
408,earli,0.22854647040367126,agmp,0.6210852861404419
409,form,0.22833585739135742,statu,0.6206763982772827
410,suboccipit,0.22757704555988312,term,0.6198832988739014
411,often,0.22726689279079437,describ,0.6198593378067017
412,breath,0.22721345722675323,element,0.6188646554946899
413,suppli,0.22716465592384338,although,0.618436872959137
414,german,0.22707897424697876,acquir,0.6184173822402954
415,complex,0.22706137597560883,assay,0.61738121509552
416,bia,0.22705061733722687,elimin,0.617236852645874
417,particl,0.22682425379753113,m,0.6132178902626038
418,misunderstand,0.22679543495178223,across,0.6126316785812378
419,known,0.22667229175567627,bed,0.6118715405464172
420,19,0.2264527827501297,print,0.6114901900291443
421,sarscov2posit,0.22623299062252045,child,0.6098038554191589
422,tacrolimu,0.2261907011270523,blood,0.6076034307479858
423,residenti,0.2256445288658142,highrisk,0.6072976589202881
424,exclud,0.22559623420238495,state,0.6072076559066772
425,5,0.22531279921531677,appli,0.6068583726882935
426,phase,0.2249983698129654,reveal,0.6063273549079895
427,marrow,0.22492314875125885,effici,0.6059234142303467
428,95ci,0.2248544842004776,secondari,0.6057170033454895
429,outbreak,0.22446957230567932,6,0.6053681373596191
430,find,0.22376075387001038,lower,0.6042382717132568
431,theoret,0.22373658418655396,instanc,0.6031041145324707
432,experiment,0.22362637519836426,4,0.6027780771255493
433,releg,0.22361569106578827,whether,0.6020338535308838
434,interact,0.2234373390674591,express,0.601225733757019
435,ny,0.22324787080287933,main,0.6002720594406128
436,accord,0.22306984663009644,tablet,0.5974615216255188
437,one,0.2229682356119156,followup,0.5953329801559448
438,chemoprophylaxi,0.222946435213089,13,0.5945331454277039
439,2003,0.22282755374908447,basi,0.5936112403869629
440,critic,0.22275686264038086,scientif,0.5935810804367065
441,sudden,0.22268091142177582,extrem,0.592382550239563
442,physic,0.22264227271080017,actual,0.591976523399353
443,ggta1,0.22235551476478577,breastfeed,0.5917437076568604
444,strategi,0.2222573310136795,educ,0.5917131900787354
445,ascorb,0.2222326397895813,personnel,0.5915471315383911
446,pneumonia,0.2221376746892929,18,0.5907822847366333
447,storm,0.22183401882648468,challeng,0.5900002717971802
448,facial,0.22156275808811188,creat,0.5889244675636292
449,copiesml,0.2212856411933899,better,0.5882006287574768
450,immun,0.22125916182994843,still,0.5874764323234558
451,qualiti,0.22117184102535248,complex,0.5869342684745789
452,outdoor,0.2208799123764038,andor,0.5856759548187256
453,0098,0.22085732221603394,previou,0.5855534672737122
454,famili,0.22072359919548035,believ,0.5853376388549805
455,57,0.22071342170238495,seroconvers,0.5848287343978882
456,epitop,0.22045698761940002,correct,0.5847393870353699
457,2296,0.22031322121620178,200,0.5834578275680542
458,strata,0.21998503804206848,safe,0.5828150510787964
459,trace,0.2198782116174698,42,0.5827212333679199
460,202000147429,0.21967506408691406,isol,0.5824329257011414
461,nevertheless,0.2194048911333084,thought,0.582081139087677
462,experi,0.21931418776512146,stage,0.5818290710449219
463,chosen,0.21930763125419617,strict,0.5800426006317139
464,lockdown,0.21924284100532532,n1,0.5797361731529236
465,per,0.21919086575508118,initi,0.5780260562896729
466,ravag,0.21917028725147247,sudden,0.5767558813095093
467,analyt,0.21893936395645142,multipl,0.5753636360168457
468,robust,0.21889200806617737,contamin,0.5751324892044067
469,distribut,0.21880416572093964,skin,0.5749772787094116
470,detect,0.21849487721920013,surgeri,0.57456374168396
471,contamin,0.21835021674633026,dispos,0.5725241303443909
472,remov,0.21802297234535217,reach,0.5703867673873901
473,object,0.21780277788639069,mani,0.5701471567153931
474,1men,0.21777638792991638,strata,0.5696604251861572
475,strengthen,0.21772074699401855,advanc,0.5696474313735962
476,aim,0.21767160296440125,sar,0.5683475136756897
477,sprotein,0.2173970490694046,ratio,0.5672223567962646
478,lower,0.21736784279346466,take,0.567094087600708
479,nucleic,0.21725527942180634,79,0.5670801401138306
480,ecdc,0.21717137098312378,block,0.5670692920684814
481,everyday,0.2168193906545639,four,0.566493034362793
482,14,0.2164458930492401,rapidli,0.5656421780586243
483,associ,0.2163364738225937,oxid,0.564793586730957
484,moder,0.21632665395736694,depart,0.5628232955932617
485,fabric,0.21602700650691986,barcelona,0.5626679062843323
486,onlin,0.21583838760852814,cloth,0.5620664358139038
487,recommend,0.21562880277633667,agent,0.5614672899246216
488,misinform,0.21542063355445862,demonstr,0.5613809823989868
489,random,0.21528935432434082,would,0.5611821413040161
490,frequent,0.21528923511505127,certain,0.559677243232727
491,season,0.2150581181049347,fatal,0.5592986345291138
492,mortal,0.21498021483421326,p,0.5575830340385437
493,uk,0.21474653482437134,influenc,0.5574917793273926
494,clínico,0.21437738835811615,larg,0.5573539733886719
495,materi,0.21392449736595154,•,0.5573503375053406
496,onset,0.21355819702148438,α13galactosyltransferas,0.5572447776794434
497,parent,0.21340669691562653,maintain,0.5571300387382507
498,rational,0.2133716642856598,guidelin,0.5567490458488464
499,asian,0.21315985918045044,physic,0.5562717914581299
500,other,0.21307791769504547,ii,0.5559861063957214
501,andor,0.21292921900749207,corona,0.5534418821334839
502,across,0.21286144852638245,surround,0.553350031375885
503,resid,0.21189099550247192,percept,0.5529448986053467
504,conduct,0.21185803413391113,normal,0.552466869354248
505,recent,0.21167153120040894,recent,0.5520542860031128
506,us,0.2115871012210846,famili,0.5516566634178162
507,lock,0.2114391028881073,felt,0.5510125160217285
508,hous,0.2113494724035263,diagnos,0.5505862832069397
509,ii,0.21134749054908752,2nd,0.5493378639221191
510,mastermix,0.21125052869319916,calcul,0.5487411618232727
511,morn,0.2109968662261963,monitor,0.5482757091522217
512,intens,0.21083101630210876,20,0.5478518009185791
513,social,0.21082766354084015,enhanc,0.5476040244102478
514,throat,0.21049395203590393,relev,0.5474729537963867
515,constitut,0.21048344671726227,serolog,0.5474144220352173
516,minut,0.2104770690202713,abil,0.5464765429496765
517,dissemin,0.21013085544109344,otolaryngologist,0.546454131603241
518,dyspnoea,0.21002301573753357,icd10,0.546139121055603
519,respons,0.20990708470344543,mice,0.5449503660202026
520,term,0.20915758609771729,mortal,0.5441373586654663
521,preval,0.20909424126148224,known,0.544100284576416
522,79,0.2090732604265213,document,0.5432213544845581
523,previou,0.20895598828792572,curv,0.5420851707458496
524,abl,0.20889343321323395,three,0.5405353307723999
525,acknowledg,0.20879459381103516,27,0.540104329586029
526,team,0.20872154831886292,process,0.5381168127059937
527,life,0.20863570272922516,dissemin,0.5376470685005188
528,cyp3a4,0.2084806114435196,solut,0.5373846888542175
529,blood,0.20830169320106506,repres,0.5350317358970642
530,manifest,0.20817722380161285,hvac,0.5349830985069275
531,shield,0.20774400234222412,h,0.5343467593193054
