,ct,cos,2003,cos
53,incub,0.2332298308610916,prevent,0.9944486618041992
54,camel,0.2323790192604065,ace2,0.9944473505020142
55,cover,0.23107415437698364,caus,0.9943985342979431
56,dpp4,0.23105444014072418,drug,0.9943312406539917
57,realm,0.22956860065460205,present,0.9942986965179443
58,29,0.22924146056175232,protein,0.9941428303718567
59,131,0.22900256514549255,design,0.9940862059593201
60,prepar,0.22849956154823303,method,0.9940675497055054
61,carol,0.22847630083560944,wuhan,0.9939497709274292
62,portal,0.22769209742546082,recent,0.9938836097717285
63,capac,0.22668369114398956,novel,0.9938374757766724
64,palm,0.22648438811302185,receptor,0.99383145570755
65,lianhua,0.22631093859672546,replic,0.9937912225723267
66,locat,0.2256525456905365,bind,0.9937582015991211
67,groov,0.2254115641117096,individu,0.9937363862991333
68,pearl,0.22523626685142517,research,0.9936637878417969
69,ad,0.22514395415782928,potenti,0.9936484694480896
70,mnp,0.22504264116287231,respiratori,0.993546187877655
71,26,0.22396454215049744,risk,0.9935325980186462
72,difficulti,0.22392785549163818,pathogen,0.9935261011123657
73,safe,0.22363018989562988,host,0.9935250282287598
74,largest,0.2235276848077774,2019ncov,0.9934704303741455
75,flight,0.2234472781419754,origin,0.9933619499206543
76,120,0.22321471571922302,evid,0.9933274984359741
77,geograph,0.22318248450756073,world,0.9932625889778137
78,dental,0.2230175882577896,time,0.993133544921875
79,complic,0.2228841483592987,2019,0.9930649995803833
80,committe,0.22260746359825134,interact,0.9930599927902222
81,"a,",0.22181951999664307,anim,0.9929389953613281
82,estimated•cumul,0.22088700532913208,high,0.9928267002105713
83,oligomer,0.2208460420370102,viral,0.9928241968154907
84,believ,0.22081933915615082,control,0.9927167892456055
85,boltzmann,0.2206810712814331,2012,0.9927104711532593
86,cov1,0.22057762742042542,among,0.9925075769424438
87,vesicl,0.22006797790527344,need,0.9924389123916626
88,go,0.22005385160446167,well,0.9924302101135254
89,america,0.21987253427505493,affect,0.9921419620513916
90,2019ncovimport,0.2198226898908615,confirm,0.9921218752861023
91,toronto,0.2193405032157898,relat,0.9920355677604675
92,unpreced,0.21889515221118927,two,0.9919003248214722
93,robust,0.21869036555290222,public,0.9918274879455566
94,nih,0.21752434968948364,measur,0.9915571212768555
95,postexposur,0.21746204793453217,differ,0.9915190935134888
96,cycl,0.21700546145439148,across,0.9915053248405457
97,ht,0.21670222282409668,understand,0.9915026426315308
98,hypothes,0.21647068858146667,one,0.9913692474365234
99,vss,0.21632170677185059,hospit,0.9913640022277832
100,rtqpcr,0.21579773724079132,agent,0.9911794066429138
101,combat,0.21559277176856995,molecular,0.9911181926727295
102,furthermor,0.2155119776725769,respons,0.9910527467727661
103,alon,0.21550127863883972,syndrom,0.9909855127334595
104,quantif,0.21547818183898926,rate,0.9909814596176147
105,cross,0.2146642506122589,inhibitor,0.9909258484840393
106,taken,0.2139836549758911,concern,0.990864634513855
107,renal,0.21397098898887634,role,0.9908543229103088
108,immunolog,0.2138887643814087,test,0.9906163811683655
109,800,0.2136913537979126,compar,0.9905664920806885
110,join,0.21307826042175293,antivir,0.9905480742454529
111,project,0.21262818574905396,organ,0.990534245967865
112,homolog,0.2123592495918274,symptom,0.9904345870018005
113,especi,0.21234732866287231,type,0.9904128909111023
114,acquisit,0.21220608055591583,analysi,0.9903463125228882
115,modern,0.21215882897377014,common,0.9901595115661621
116,structurebas,0.2115466147661209,system,0.9901589751243591
117,elig,0.21147559583187103,genet,0.9901502132415771
118,assembl,0.211186021566391,genom,0.9901213049888611
119,ifncompet,0.2110687494277954,strategi,0.9900918006896973
120,cet,0.21101537346839905,therapeut,0.9899977445602417
121,subunit,0.21098269522190094,isol,0.9897640347480774
122,hous,0.21082669496536255,base,0.9897290468215942
123,nanotox,0.2106788456439972,ill,0.9896609783172607
124,long,0.21060088276863098,number,0.9896255135536194
125,fastgrow,0.2095300853252411,publish,0.9896174669265747
126,eat,0.20936287939548492,howev,0.9895851016044617
127,1980,0.20895275473594666,rapid,0.9894692301750183
128,centr,0.20885229110717773,aim,0.989378809928894
129,encompass,0.20860718190670013,target,0.9893649816513062
130,syndromecov,0.20840519666671753,detect,0.9892402291297913
131,compet,0.20812931656837463,higher,0.9892343878746033
132,mri,0.20795810222625732,highli,0.9890256524085999
133,exampl,0.2077300101518631,found,0.9889826774597168
134,diterpen,0.20713567733764648,major,0.9887361526489258
135,lee,0.20694780349731445,decemb,0.988731324672699
136,took,0.20684801042079926,show,0.9887145757675171
137,cure,0.20675373077392578,find,0.988656222820282
138,2fold,0.2066987156867981,avail,0.9885646104812622
139,mice,0.20646432042121887,epidemiolog,0.9885534048080444
140,20022003,0.20632758736610413,bat,0.9882026314735413
141,urineor,0.20623958110809326,could,0.9879968166351318
142,wall,0.20611995458602905,progress,0.9877750873565674
143,forget,0.2058860808610916,pneumonia,0.9876822233200073
144,53,0.20586258172988892,intern,0.9876164197921753
145,york,0.20553117990493774,worldwid,0.987601637840271
146,immedi,0.20525379478931427,suggest,0.9875214695930481
147,dosedepend,0.20514948666095734,due,0.987471878528595
148,european,0.20459643006324768,fatal,0.9872989654541016
149,3cl,0.20411238074302673,et,0.9871324300765991
150,criteria,0.20397937297821045,sinc,0.9870027303695679
151,continu,0.20375367999076843,al,0.9869825839996338
152,timelin,0.20328715443611145,medic,0.9862920045852661
153,midst,0.2032507210969925,combin,0.9862414598464966
154,surpris,0.20287662744522095,middl,0.9859000444412231
155,rbd,0.20280373096466064,commun,0.985837996006012
156,inflammatori,0.2025405466556549,characterist,0.9857370257377625
157,reconstruct,0.2024887651205063,help,0.9856977462768555
158,portabl,0.2023882269859314,ongo,0.9856891632080078
159,physician,0.20234641432762146,articl,0.9854249954223633
160,demonstr,0.2022177278995514,factor,0.9851851463317871
161,priorart,0.20213177800178528,contact,0.985146164894104
162,mechnism,0.20164278149604797,evalu,0.9850955009460449
163,special,0.20145826041698456,kidney,0.9850614070892334
164,nat,0.2014213651418686,mechan,0.9848157167434692
165,dynam,0.20115922391414642,immun,0.9844151139259338
166,sound,0.20025001466274261,conclus,0.9843598008155823
167,hundr,0.2002021223306656,name,0.9843072295188904
168,ghebreyesu,0.20009826123714447,acut,0.9839348793029785
169,stroke,0.19996614754199982,possibl,0.9838287830352783
170,needl,0.19987428188323975,screen,0.9837722778320312
171,cytometri,0.19939373433589935,limit,0.9837433695793152
172,cytokin,0.1993081271648407,activ,0.9835673570632935
173,distribut,0.19923880696296692,three,0.9834936261177063
174,convent,0.19889160990715027,sequenc,0.9834392070770264
175,moreov,0.1988789439201355,year,0.9831883907318115
176,rapidli,0.1988486647605896,day,0.9831488132476807
177,crisi,0.19863998889923096,injuri,0.9831048250198364
178,•cumul,0.1986154317855835,investig,0.9830536246299744
179,azithromycin,0.19858798384666443,manifest,0.9830315113067627
180,solidar,0.19835472106933594,1,0.9826062321662903
181,practic,0.19806872308254242,inform,0.9824808835983276
182,histori,0.19789601862430573,involv,0.9824211597442627
183,pack,0.19747695326805115,subsequ,0.9822230935096741
184,men,0.19724446535110474,main,0.9822086691856384
185,diarrhoea,0.19678404927253723,consid,0.9820272922515869
186,28,0.19650483131408691,observ,0.9819949865341187
187,peninsula,0.19637085497379303,mani,0.9818934202194214
188,account,0.19595983624458313,assess,0.9817894697189331
189,logic,0.19591936469078064,east,0.9816668033599854
190,deriv,0.19589465856552124,3,0.9812480211257935
191,ritonavir,0.19510483741760254,complex,0.9811747074127197
192,play,0.19500604271888733,yet,0.9809514880180359
193,1960,0.19499051570892334,import,0.9808658361434937
194,tedro,0.1946175992488861,discuss,0.9807994365692139
195,strengthen,0.19415391981601715,spike,0.980707585811615
196,fewest,0.19388625025749207,seriou,0.9806957244873047
197,indispens,0.19344238936901093,group,0.980635404586792
198,search,0.19343909621238708,biolog,0.9804275631904602
199,potent,0.1934116631746292,dynam,0.9799047112464905
200,beta,0.1930651068687439,threat,0.9798808097839355
201,seir,0.19247275590896606,previou,0.9798570275306702
202,function•potenti,0.19246244430541992,popul,0.9792824387550354
203,shock,0.19218477606773376,sarscov1,0.9792447686195374
204,aggress,0.1921105682849884,damag,0.9790905714035034
205,deal,0.19202008843421936,becom,0.9790182113647461
206,singlestrand,0.1919415146112442,analyz,0.9790018796920776
207,substanc,0.19182553887367249,literatur,0.978969931602478
208,chang,0.19174985587596893,work,0.9789325594902039
209,morbid,0.19174040853977203,social,0.9788324236869812
210,broad,0.19144640862941742,us,0.9788198471069336
211,herein,0.1914139986038208,beij,0.9783679246902466
212,daili,0.191349595785141,close,0.9782857894897461
213,733,0.19085931777954102,care,0.978272557258606
214,fulli,0.19073781371116638,structur,0.9782152771949768
215,question,0.1905830353498459,remain,0.9782040119171143
216,hoy,0.19045200943946838,level,0.9778577089309692
217,incess,0.19028499722480774,outcom,0.9777592420578003
218,newli,0.1902620494365692,set,0.9772168397903442
219,cellular,0.1900787651538849,increas,0.9772119522094727
220,sporad,0.19001975655555725,databas,0.9770313501358032
221,sera,0.1900145411491394,therapi,0.9769402742385864
222,constantli,0.18979981541633606,background,0.9766912460327148
223,cepharanthin,0.1897296905517578,signific,0.9766032695770264
224,period,0.1896771937608719,effort,0.9765036106109619
225,2800,0.1896306574344635,specif,0.9762193560600281
226,coronavirus2,0.18938927352428436,select,0.976069450378418
227,sarslik,0.18936431407928467,made,0.9760085940361023
228,536544,0.18915493786334991,infecti,0.9757876992225647
229,13,0.18906021118164062,enzym,0.9755018353462219
230,116,0.18896949291229248,speci,0.9753586053848267
231,angiographi,0.1889227330684662,peopl,0.9752727746963501
232,level,0.18876121938228607,gener,0.9751786589622498
233,breath,0.18870216608047485,mortal,0.9751543998718262
234,direct,0.18867208063602448,last,0.9747675657272339
235,collect,0.18866635859012604,manag,0.9744752645492554
236,earlier,0.18866609036922455,contribut,0.9737294316291809
237,coin,0.18858906626701355,trial,0.9736310839653015
238,constitut,0.18824300169944763,tissu,0.9735649228096008
239,thank,0.18821752071380615,protect,0.9735164642333984
240,heterotrim,0.18797269463539124,contain,0.9734028577804565
241,would,0.1878310739994049,sampl,0.9729148745536804
242,interleukin,0.18757177889347076,natur,0.9728457927703857
243,smart,0.18744510412216187,futur,0.9728387594223022
244,receptorbind,0.1873888522386551,fever,0.972720205783844
245,quantiti,0.1869112104177475,belong,0.9727200865745544
246,valu,0.18678882718086243,antibodi,0.9726862907409668
247,afterward,0.186212956905365,repres,0.9726487398147583
248,11,0.18605412542819977,total,0.9720220565795898
249,caco2,0.18596194684505463,approach,0.9720003008842468
250,burden,0.1858953982591629,exposur,0.9717169404029846
251,sourc,0.18589141964912415,period,0.9715994000434875
252,candid,0.1857328861951828,refer,0.9714335203170776
253,comput,0.18565554916858673,famili,0.9711618423461914
254,scant,0.18538962304592133,contrast,0.9711610078811646
255,third,0.18518602848052979,region,0.9710482358932495
256,care,0.18515679240226746,rapidli,0.9710123538970947
257,decoct,0.18514682352542877,januari,0.9707164764404297
258,theoret,0.18501445651054382,transmit,0.97050940990448
259,infecti,0.1849582940340042,n,0.9704962968826294
260,warrant,0.18468283116817474,far,0.9703384637832642
261,genet,0.1846655160188675,although,0.9699954390525818
262,endors,0.18453562259674072,systemat,0.9693784117698669
263,doctor,0.1843571811914444,summar,0.9693319797515869
264,market,0.18429109454154968,addit,0.9693105220794678
265,longlast,0.18420493602752686,proteas,0.9692302346229553
266,remov,0.18393680453300476,predict,0.9689816236495972
267,season,0.18351370096206665,fund,0.968875527381897
268,01,0.18334068357944489,2002,0.9685359001159668
269,subfamili,0.1833038032054901,exist,0.9681501388549805
270,heavi,0.18263214826583862,februari,0.9678186178207397
271,conform,0.18258455395698547,decreas,0.9673943519592285
272,73,0.18257412314414978,person,0.9673628807067871
273,scopu,0.18216849863529205,larg,0.9672430753707886
274,clementin,0.18212464451789856,incid,0.9670366644859314
275,io,0.1818099021911621,lung,0.9667357802391052
276,elderli,0.18169164657592773,author,0.9663212299346924
277,injuri,0.18151849508285522,hcov,0.9661999940872192
278,context,0.1814948171377182,cough,0.9652541279792786
279,reliabl,0.1813962757587433,pathogenesi,0.9651267528533936
280,himalayan,0.18139295279979706,chain,0.9649661779403687
281,laboratori,0.1811675876379013,like,0.9647301435470581
282,7,0.18112334609031677,ifn,0.9641237258911133
283,region,0.18097785115242004,patholog,0.9639488458633423
284,molecul,0.18097098171710968,support,0.9635103344917297
285,vulner,0.18093129992485046,rang,0.9634617567062378
286,endem,0.180766761302948,5,0.9628273248672485
287,advanc,0.18052178621292114,valid,0.9627723693847656
288,produc,0.18041881918907166,lead,0.9626559019088745
289,cocktail,0.18032978475093842,highlight,0.9625545144081116
290,process,0.18012335896492004,angiotensinconvert,0.9625483155250549
291,similarli,0.17990392446517944,betacoronaviru,0.9624258279800415
292,ovid,0.1798672378063202,asymptomat,0.9620567560195923
293,classic,0.17958661913871765,domain,0.9619266390800476
294,stop,0.1795549839735031,cytokin,0.9618285894393921
295,singlecent,0.17930153012275696,collect,0.9615451097488403
296,ocean,0.17921411991119385,better,0.9615122675895691
297,themebas,0.1792086958885193,aid,0.9613313674926758
298,maxim,0.17919328808784485,framework,0.9613187313079834
299,rational,0.1790834665298462,protocol,0.9612746238708496
300,acceler,0.17905400693416595,alveolar,0.9609858393669128
301,nanodrug,0.17896485328674316,alreadi,0.960722804069519
302,manner,0.17890822887420654,occur,0.9603589773178101
303,differenti,0.17880341410636902,line,0.9603442549705505
304,conclus,0.1787460744380951,etiolog,0.9599112868309021
305,pathologist,0.17873521149158478,way,0.9598488807678223
306,pull,0.17864924669265747,significantli,0.9598086476325989
307,tool,0.17856062948703766,appear,0.9596027731895447
308,stool,0.17850911617279053,propos,0.9594885110855103
309,ophthalm,0.17814654111862183,shown,0.9593213796615601
310,transmit,0.1780921220779419,candid,0.9591631293296814
311,induc,0.1780557930469513,tool,0.9591215252876282
312,eye,0.17769300937652588,known,0.9589685201644897
313,valid,0.17765964567661285,earli,0.9585602283477783
314,experiment,0.17763355374336243,mainli,0.9585046172142029
315,full,0.1775933802127838,diagnost,0.9583269953727722
316,conduct,0.17753653228282928,surveil,0.9582623243331909
317,medic,0.17745573818683624,treat,0.9578287601470947
318,solver,0.17695973813533783,reveal,0.9577585458755493
319,fatal,0.17693229019641876,variabl,0.9575387835502625
320,author,0.17675703763961792,condit,0.9574422836303711
321,feng,0.17673543095588684,anoth,0.9574061632156372
322,ifn,0.1767226755619049,influenza,0.9573279619216919
323,knowledg,0.1765916645526886,critic,0.9572885036468506
324,19,0.17652827501296997,april,0.9570395946502686
325,govern,0.17646847665309906,face,0.9566629528999329
326,1955,0.17628178000450134,express,0.9563859701156616
327,program,0.176176518201828,given,0.9562735557556152
328,3rd,0.1760353147983551,compound,0.9561150670051575
329,convers,0.17602956295013428,variou,0.956089973449707
330,prior,0.17601720988750458,establish,0.9559561014175415
331,simul,0.17600654065608978,unknown,0.9558206796646118
332,compat,0.17555762827396393,follow,0.9553343057632446
333,isotanshinon,0.17554059624671936,play,0.9550014138221741
334,best,0.17551040649414062,impact,0.95477294921875
335,hui,0.17539960145950317,regul,0.9542274475097656
336,worker,0.17526891827583313,record,0.9539600610733032
337,total,0.1752222180366516,seri,0.9539323449134827
338,shepherd,0.17521768808364868,10,0.953877329826355
339,preval,0.17515525221824646,question,0.9537925720214844
340,primari,0.1750926822423935,describ,0.9537636041641235
341,date,0.17505039274692535,sourc,0.9536833763122559
342,shed,0.17441369593143463,servic,0.953679084777832
343,recur,0.1743415892124176,mild,0.9535764455795288
344,combin,0.17416775226593018,date,0.9532788991928101
345,extracellular,0.1739080250263214,respect,0.9531815052032471
346,worldwid,0.17358818650245667,techniqu,0.9530564546585083
347,gener,0.17352551221847534,calu3,0.9527066946029663
348,25,0.1735151708126068,effici,0.9523233771324158
349,cardiac,0.17349420487880707,diagnosi,0.9515484571456909
350,moder,0.1734577715396881,rbd,0.9515299797058105
351,await,0.1733807623386383,singapor,0.951313316822052
352,alveolar,0.1733262538909912,strongli,0.9510319232940674
353,kinet,0.17323753237724304,epitop,0.9505231976509094
354,72,0.17318344116210938,s309,0.9504319429397583
355,step,0.1730620563030243,great,0.9500889182090759
356,contagi,0.17276450991630554,regard,0.9499756097793579
357,hla,0.1725960075855255,eye,0.9493637084960938
358,contact,0.1725703477859497,overview,0.9491543769836426
359,phase,0.17255449295043945,recommend,0.9479149580001831
360,ischem,0.17246001958847046,insight,0.9476064443588257
361,mathemat,0.17224371433258057,best,0.9473670721054077
362,strongli,0.1720346212387085,million,0.9471069574356079
363,subsequ,0.171742781996727,requir,0.9467461109161377
364,zoonot,0.17164483666419983,rais,0.9465705752372742
365,32,0.17159679532051086,strain,0.9463373422622681
366,confirmatori,0.1714877188205719,multipl,0.9462940692901611
367,complementar,0.17146271467208862,featur,0.9461669921875
368,30,0.1712370067834854,realtim,0.9458619356155396
369,fundament,0.17112404108047485,area,0.9458349347114563
370,effort,0.17088383436203003,term,0.9454013109207153
371,appear,0.17083606123924255,decad,0.9453771710395813
372,administr,0.170523539185524,lack,0.9453701972961426
373,24,0.17037932574748993,efficaci,0.9449276924133301
374,thought,0.17025424540042877,thromboembol,0.9447224736213684
375,significantli,0.17023952305316925,scienc,0.9423567056655884
376,depress,0.1701955497264862,advanc,0.941914439201355
377,pool,0.17008128762245178,tract,0.9415345191955566
378,80000,0.1699713170528412,second,0.9414486289024353
379,popul,0.16993971168994904,improv,0.9413506388664246
380,often,0.16988816857337952,still,0.9411946535110474
381,zhang,0.16978830099105835,entri,0.9409438967704773
382,10,0.16978764533996582,recognit,0.9409367442131042
383,presenc,0.16970333456993103,lower,0.9407111406326294
384,insight,0.16946913301944733,rna,0.9400177001953125
385,immunodefici,0.16933225095272064,hla,0.9396474361419678
386,uniqu,0.16929493844509125,scientif,0.9393472075462341
387,interim,0.16922946274280548,remdesivir,0.9393103718757629
388,concern,0.16908995807170868,consist,0.9390808939933777
389,variou,0.16903696954250336,distress,0.9389597177505493
390,hcov,0.16895586252212524,underli,0.9389466047286987
391,depart,0.16873356699943542,neurolog,0.938762903213501
392,microbiol,0.16873344779014587,heparin,0.9379501342773438
393,urgent,0.16871294379234314,initi,0.9375030994415283
394,seriou,0.1684298813343048,perspect,0.9370888471603394
395,scenario,0.1683778613805771,affin,0.9366222023963928
396,biolog,0.1682877242565155,state,0.9361711740493774
397,propag,0.16825613379478455,delay,0.9360034465789795
398,new,0.16817082464694977,perform,0.9353813529014587
399,occur,0.16809606552124023,kong,0.9352567195892334
400,exist,0.16787417232990265,led,0.9351286292076111
401,cardiovascular,0.16783304512500763,allow,0.9351257085800171
402,assess,0.1676836907863617,suppli,0.9351105690002441
403,defens,0.1676771491765976,adult,0.9348981380462646
404,virusladen,0.1675136685371399,suscept,0.9347827434539795
405,mucosacollect,0.16742312908172607,prior,0.9346919655799866
406,multispecif,0.16737252473831177,methodolog,0.9345079064369202
407,upregul,0.16735726594924927,focu,0.9342872500419617
408,respect,0.16724324226379395,challeng,0.93426513671875
409,way,0.16701707243919373,month,0.9342290163040161
410,dog3,0.16694268584251404,zoonot,0.9338579177856445
411,suggest,0.1668054610490799,prompt,0.933670163154602
412,household,0.16661082208156586,complic,0.9336161613464355
413,none,0.16652743518352509,relev,0.9327175617218018
414,day,0.16632860898971558,citi,0.9325459003448486
415,prompt,0.16620047390460968,direct,0.9322991967201233
416,estim,0.16600464284420013,arabia,0.931725025177002
417,sistematx,0.16590788960456848,humantohuman,0.9315555691719055
418,symptomat,0.16587582230567932,search,0.9312907457351685
419,origin,0.16560006141662598,robust,0.9310144186019897
420,short,0.16554218530654907,attempt,0.930354118347168
421,chain,0.16548758745193481,memori,0.9301316142082214
422,pandemicimport,0.16543979942798615,centuri,0.9298994541168213
423,great,0.16524933278560638,experiment,0.9298292398452759
424,pharmacolog,0.1652398556470871,11,0.9298262596130371
425,famili,0.1651902049779892,five,0.9298226237297058
426,diarrhea,0.16503630578517914,dyspnea,0.9297094345092773
427,sister,0.16476304829120636,scientist,0.9293571710586548
428,pathogen,0.16475793719291687,enter,0.9289683103561401
429,known,0.16469025611877441,small,0.9287619590759277
430,phylogeograph,0.16459020972251892,document,0.9287091493606567
431,make,0.16451436281204224,arb,0.9285581707954407
432,primarili,0.1644900143146515,reduc,0.9283571243286133
433,enter,0.16448454558849335,discoveri,0.9281394481658936
434,intern,0.164443701505661,25,0.927414059638977
435,artifici,0.164413720369339,foundat,0.9272894859313965
436,impair,0.16417889297008514,pulmonari,0.9271541237831116
437,humantoanim,0.1641744077205658,induc,0.9269950985908508
438,characterist,0.16409045457839966,around,0.9269450306892395
439,trajectori,0.16398076713085175,march,0.9269081354141235
440,function•th,0.16385599970817566,previous,0.9268521666526794
441,area,0.1638484001159668,much,0.926731288433075
442,ii,0.16373053193092346,abstract,0.9264957308769226
443,43,0.1636674702167511,worker,0.9261693954467773
444,correl,0.16364926099777222,200,0.9260933995246887
445,success,0.16339848935604095,synthesi,0.9256820678710938
446,ventil,0.16339030861854553,pose,0.9253561496734619
447,key,0.16335442662239075,declar,0.9250649213790894
448,assay,0.16334816813468933,function,0.9250264167785645
449,organ,0.1633072793483734,incub,0.9249571561813354
450,respond,0.16318155825138092,evolut,0.9247751235961914
451,s309,0.16312630474567413,live,0.9238959550857544
452,2019,0.16310299932956696,chang,0.9237066507339478
453,aerosol,0.16297397017478943,depart,0.9235028028488159
454,manifest,0.1629483848810196,attach,0.9233133792877197
455,zoonosi,0.16294163465499878,continu,0.922725260257721
456,fund,0.1629127562046051,24,0.9226909875869751
457,avail,0.1628669798374176,good,0.9225205183029175
458,follow,0.1628461480140686,make,0.9224127531051636
459,territori,0.16282692551612854,burden,0.9223852157592773
460,among,0.1627301573753357,symptomat,0.9221611618995667
461,may,0.1623135656118393,rout,0.9217773079872131
462,show,0.1622651070356369,demonstr,0.9216330051422119
463,month,0.16216018795967102,take,0.9210612773895264
464,proteas,0.1621301770210266,provinc,0.9203797578811646
465,articl,0.1620786488056183,swab,0.920194685459137
466,hospit,0.16202250123023987,character,0.9201498627662659
467,healthcar,0.1618836522102356,hong,0.9197661280632019
468,wherea,0.1616925299167633,object,0.9196209907531738
469,80r,0.16169053316116333,hydroxychloroquin,0.9195417165756226
470,complex,0.16161289811134338,without,0.9194470643997192
471,mask,0.16145160794258118,network,0.9191898703575134
472,alreadi,0.16137322783470154,4,0.9189485907554626
473,agent,0.16136561334133148,children,0.9187455177307129
474,ifnalpha,0.16127118468284607,crucial,0.9186626076698303
475,ongo,0.16119402647018433,throughout,0.9185270071029663
476,nanotherapeut,0.16116619110107422,environment,0.9177753925323486
477,support,0.16110271215438843,technolog,0.9175355434417725
478,marker,0.16105905175209045,30,0.9175305962562561
479,drug,0.16102445125579834,variant,0.9174306988716125
480,mortal,0.16094565391540527,short,0.9172532558441162
481,thromboembol,0.16086818277835846,carri,0.9170824289321899
482,wellestablish,0.160848006606102,cure,0.9168093800544739
483,anoth,0.16075602173805237,whether,0.9164549112319946
484,disrupt,0.16073323786258698,gene,0.9161683917045593
485,dromedari,0.16069141030311584,cellular,0.9161564707756042
486,symptom,0.1603190004825592,reaction,0.9158183336257935
487,physic,0.16024985909461975,comput,0.9157823324203491
488,frequent,0.1602269858121872,essenti,0.9157817363739014
489,risk,0.16021472215652466,process,0.9154927730560303
490,kidney,0.16004206240177155,coin,0.9149389863014221
491,hormon,0.16002404689788818,b,0.9147204160690308
492,hydroxychloroquin,0.15998518466949463,flow,0.9146449565887451
493,3clpro,0.15996256470680237,program,0.9146181344985962
494,opportun,0.15992820262908936,stool,0.9145933985710144
495,varieti,0.15987138450145721,retrospect,0.9143206477165222
496,report,0.15976576507091522,altern,0.9140843152999878
497,sampl,0.1597621738910675,achiev,0.9139645099639893
498,without,0.15973001718521118,final,0.9138375520706177
499,share,0.1595407873392105,particularli,0.9137523770332336
500,cytotox,0.15942849218845367,gi,0.9136959314346313
501,world,0.1593976616859436,simul,0.9133319854736328
502,global,0.159354567527771,signal,0.9132800102233887
503,present,0.15923886001110077,50,0.9131603240966797
504,evalu,0.1591063141822815,liver,0.9131127595901489
505,pneumonia,0.15903446078300476,cdc,0.9127264022827148
506,therapeut,0.158952534198761,often,0.9111909866333008
507,better,0.15891897678375244,govern,0.9097304940223694
508,glycoprotein,0.15887144207954407,within,0.9094823002815247
509,onsit,0.1587609499692917,taiwan,0.9091067910194397
510,virushost,0.15872228145599365,numer,0.9088678359985352
511,antivir,0.15860767662525177,mitig,0.9084910154342651
512,protect,0.15857382118701935,especi,0.9080854654312134
513,dog,0.15848571062088013,purpos,0.907099723815918
514,gastrointestin,0.15844939649105072,next,0.9067918062210083
515,pose,0.15844868123531342,electrostat,0.9063448309898376
516,commonli,0.1583707630634308,virtual,0.9061070084571838
517,viralhost,0.15822212398052216,expert,0.9059685468673706
518,turn,0.15820863842964172,divers,0.9057612419128418
519,shaw,0.15819671750068665,adapt,0.9056550860404968
520,main,0.15818864107131958,wide,0.9051792621612549
