,ct,cos,imag,cos
162,antivir,0.9987117648124695,classif,0.9989382028579712
163,sat,0.9987111687660217,target,0.9989379048347473
164,three,0.9987109899520874,advanc,0.9989367723464966
165,understand,0.9987109899520874,object,0.998936116695404
166,gastrointestin,0.9987104535102844,transmiss,0.9989359378814697
167,research,0.9987102746963501,review,0.9989354610443115
168,investig,0.9987080097198486,epidem,0.9989346265792847
169,taken,0.9987075328826904,thicken,0.9989326000213623
170,radiologist,0.9987073540687561,express,0.998932421207428
171,thicken,0.998706579208374,asphyxia,0.9989269375801086
172,cours,0.9987025260925293,secondari,0.9989255666732788
173,dyspnea,0.9987020492553711,etiolog,0.9989241361618042
174,even,0.9987008571624756,therapi,0.9989226460456848
175,marker,0.998699426651001,major,0.998921811580658
176,need,0.9986991882324219,highli,0.9989216327667236
177,cancer,0.998698890209198,research,0.9989206790924072
178,level,0.9986986517906189,reaction,0.998919665813446
179,pneumothorax,0.998697817325592,consid,0.9989195466041565
180,main,0.9986975789070129,lower,0.9989140033721924
181,diagnos,0.9986968040466309,purpos,0.9989133477210999
182,suspect,0.9986938238143921,birth,0.998913049697876
183,malign,0.9986934661865234,pleural,0.998912513256073
184,mortal,0.9986933469772339,reduc,0.9989116787910461
185,without,0.9986931085586548,ggo,0.9989113807678223
186,mobil,0.9986927509307861,admit,0.9989055395126343
187,treatment,0.9986922740936279,n,0.9989048838615417
188,ggo,0.998691201210022,healthcar,0.9989035129547119
189,member,0.9986904859542847,pediatr,0.9989033937454224
190,gener,0.998690128326416,mean,0.9989026784896851
191,therapi,0.9986881613731384,deliv,0.9989026188850403
192,revers,0.9986873865127563,cxr,0.9989023208618164
193,within,0.9986870288848877,week,0.9989017248153687
194,collect,0.9986861944198608,headach,0.9989011883735657
195,progress,0.9986861348152161,lobe,0.9989008903503418
196,deliv,0.9986834526062012,protein,0.9988998174667358
197,whether,0.9986816644668579,hospit,0.9988996982574463
198,48,0.9986816644668579,member,0.9988986849784851
199,56,0.998680830001831,throat,0.9988983869552612
200,thyroid,0.998680591583252,consolid,0.9988982677459717
201,pregnant,0.9986805319786072,indic,0.9988963603973389
202,accompani,0.9986789226531982,similar,0.9988934993743896
203,enlarg,0.9986789226531982,thorac,0.9988915920257568
204,moder,0.9986763000488281,9,0.9988910555839539
205,blood,0.9986757636070251,p,0.9988908767700195
206,sarscov,0.9986753463745117,pandem,0.9988906383514404
207,16,0.9986750483512878,famili,0.9988894462585449
208,9,0.9986740350723267,valid,0.9988889098167419
209,headach,0.9986740350723267,admiss,0.9988884329795837
210,consid,0.9986730813980103,healthi,0.9988882541656494
211,birth,0.9986703395843506,antivir,0.998887836933136
212,healthi,0.9986700415611267,retrospect,0.9988876581192017
213,potenti,0.9986679553985596,serum,0.9988871812820435
214,sncap,0.9986658096313477,pattern,0.9988869428634644
215,challeng,0.9986650943756104,revers,0.9988861083984375
216,sporad,0.9986629486083984,dyspnea,0.9988823533058167
217,albumin,0.9986605048179626,genom,0.9988811016082764
218,continu,0.9986593723297119,underli,0.9988807439804077
219,nodular,0.9986590147018433,countri,0.99888014793396
220,n,0.9986590147018433,could,0.9988762140274048
221,58,0.9986587762832642,pcr,0.9988752603530884
222,17,0.998658299446106,creatinin,0.9988746047019958
223,review,0.9986569285392761,moder,0.9988740086555481
224,carrier,0.998656153678894,confirm,0.9988734126091003
225,express,0.9986553192138672,popul,0.998873233795166
226,februari,0.9986547827720642,articl,0.9988729953765869
227,four,0.9986542463302612,multifoc,0.9988725185394287
228,comorbid,0.9986535310745239,locat,0.9988716840744019
229,reduc,0.9986525774002075,ratio,0.9988700151443481
230,repeat,0.9986525177955627,58,0.9988700151443481
231,deliveri,0.9986517429351807,underw,0.9988691210746765
232,record,0.9986498355865479,interstiti,0.9988687634468079
233,p,0.9986489415168762,care,0.9988687038421631
234,highlight,0.9986473321914673,sporad,0.9988682270050049
235,cell,0.9986467361450195,woman,0.9988682270050049
236,origin,0.9986467361450195,known,0.9988681077957153
237,object,0.9986464381217957,select,0.9988673329353333
238,mass,0.9986449480056763,state,0.9988671541213989
239,popul,0.9986444711685181,41,0.9988639950752258
240,mean,0.9986441135406494,might,0.9988616108894348
241,week,0.998643159866333,enrol,0.9988614320755005
242,locat,0.9986431002616882,pneumothorax,0.9988611340522766
243,transmiss,0.9986422061920166,repeat,0.9988609552383423
244,divid,0.9986422061920166,fluid,0.9988586902618408
245,inflammatori,0.998642086982727,challeng,0.998858630657196
246,index,0.9986419677734375,summar,0.9988585710525513
247,cxr,0.9986406564712524,nodular,0.9988580942153931
248,limit,0.9986367225646973,common,0.9988580942153931
249,11,0.9986360669136047,last,0.998857855796814
250,pictur,0.9986347556114197,short,0.9988566040992737
251,onset,0.9986346960067749,subpleur,0.9988559484481812
252,treat,0.9986335635185242,surgeri,0.9988558292388916
253,variou,0.9986335635185242,nasopharyng,0.9988552331924438
254,pattern,0.9986330270767212,softwar,0.9988551139831543
255,pcr,0.998631477355957,white,0.9988548159599304
256,epidem,0.998631477355957,56,0.9988541007041931
257,could,0.9986313581466675,septal,0.9988541007041931
258,pediatr,0.9986308217048645,effect,0.9988539814949036
259,lesion,0.9986301064491272,author,0.998853325843811
260,100,0.9986289739608765,carrier,0.9988531470298767
261,pubm,0.9986286163330078,marker,0.9988519549369812
262,known,0.9986284971237183,still,0.9988517761230469
263,recoveri,0.9986280202865601,thu,0.9988503456115723
264,55,0.9986279010772705,four,0.9988499283790588
265,ratio,0.998625636100769,pubm,0.9988496899604797
266,41,0.9986230134963989,mild,0.998849630355835
267,underli,0.9986205697059631,cancer,0.9988484382629395
268,sampl,0.9986205101013184,mainli,0.9988473653793335
269,molecular,0.9986203908920288,limit,0.998847246170044
270,elev,0.9986202716827393,stool,0.9988459348678589
271,gene,0.998619794845581,gene,0.9988459348678589
272,unknown,0.9986188411712646,sncap,0.9988455176353455
273,hospit,0.9986168742179871,possibl,0.998845100402832
274,articl,0.9986168742179871,report,0.9988449215888977
275,serum,0.9986168146133423,001,0.9988415241241455
276,septal,0.9986162185668945,37,0.9988404512405396
277,report,0.9986158609390259,sinc,0.9988402724266052
278,condit,0.9986157417297363,whether,0.9988402724266052
279,man,0.9986156225204468,blood,0.9988390803337097
280,valid,0.9986152648925781,attent,0.9988389015197754
281,part,0.9986152648925781,swab,0.9988378286361694
282,atyp,0.998615026473999,51,0.9988366365432739
283,mainli,0.9986147284507751,nervou,0.9988364577293396
284,attent,0.9986145496368408,molecular,0.9988362789154053
285,control,0.998613715171814,level,0.9988356828689575
286,8,0.9986131191253662,seen,0.9988353252410889
287,thorac,0.9986112117767334,chronic,0.998833954334259
288,80,0.998609721660614,three,0.9988335967063904
289,posterior,0.998608410358429,travel,0.998833179473877
290,creatinin,0.9986082315444946,human,0.9988322257995605
291,follow,0.9986073970794678,peopl,0.9988315105438232
292,vagin,0.9986065030097961,citi,0.9988312125205994
293,stay,0.9986063838005066,sequenc,0.9988306760787964
294,countri,0.9986054301261902,within,0.9988299012184143
295,author,0.9986048936843872,rapid,0.9988285303115845
296,might,0.9986041188240051,systemat,0.9988270998001099
297,21,0.998603343963623,record,0.9988269805908203
298,purpos,0.998602569103241,like,0.9988268613815308
299,famili,0.9986019134521484,increas,0.9988266825675964
300,specimen,0.998600959777832,may,0.9988257884979248
301,realtim,0.9986008405685425,count,0.9988248944282532
302,median,0.9986006021499634,organ,0.9988242983818054
303,care,0.9985986351966858,injuri,0.998823881149292
304,systemat,0.9985965490341187,refer,0.9988221526145935
305,interlobular,0.9985959529876709,coinfect,0.9988189935684204
306,rapid,0.9985952973365784,inflammatori,0.9988185167312622
307,86,0.9985947012901306,propos,0.998817503452301
308,admit,0.9985945224761963,elev,0.9988169074058533
309,stool,0.9985935688018799,reveal,0.9988158941268921
310,start,0.9985922574996948,taken,0.9988155961036682
311,stage,0.9985918998718262,infant,0.998813271522522
312,indic,0.9985908269882202,receiv,0.9988132119178772
313,vomit,0.9985899925231934,potenti,0.9988130927085876
314,therapeut,0.9985896944999695,italian,0.9988111853599548
315,host,0.998589038848877,must,0.9988107681274414
316,score,0.9985882639884949,appear,0.9988090395927429
317,polymeras,0.9985882043838501,februari,0.9988080263137817
318,two,0.9985880851745605,seven,0.9988072514533997
319,receiv,0.9985877275466919,rang,0.998806357383728
320,26,0.9985871315002441,score,0.998805820941925
321,etiolog,0.9985870718955994,wherea,0.9988055229187012
322,standard,0.9985863566398621,ground,0.9988047480583191
323,procalcitonin,0.99858558177948,1,0.9988044500350952
324,multifoc,0.9985854029655457,brain,0.9988044500350952
325,organ,0.9985852241516113,rare,0.9988043308258057
326,rang,0.9985848069190979,deliveri,0.998803436756134
327,enrol,0.9985841512680054,treat,0.998802900314331
328,human,0.9985836744308472,date,0.9988022446632385
329,37,0.9985827803611755,7,0.9988013505935669
330,sinc,0.9985826015472412,comparison,0.9988011121749878
331,select,0.9985817670822144,home,0.9987989664077759
332,glass,0.9985814690589905,two,0.998798668384552
333,drug,0.9985811710357666,drug,0.9987983703613281
334,overal,0.9985809922218323,model,0.9987975358963013
335,wherea,0.998579204082489,degre,0.9987969398498535
336,shortterm,0.9985789656639099,65,0.9987964630126953
337,andor,0.9985779523849487,practic,0.9987963438034058
338,possibl,0.9985769987106323,month,0.9987961649894714
339,mechan,0.9985755681991577,number,0.9987959861755371
340,pandem,0.9985755681991577,albumin,0.9987959861755371
341,short,0.9985723495483398,recov,0.9987952709197998
342,correl,0.9985713958740234,vomit,0.9987951517105103
343,low,0.9985709190368652,character,0.9987937211990356
344,seen,0.9985709190368652,ddpcrbase,0.9987932443618774
345,laboratoryconfirm,0.9985705614089966,ldh,0.9987928867340088
346,confirm,0.9985681772232056,follow,0.9987922310829163
347,23,0.9985677003860474,overal,0.9987921118736267
348,lymphoma,0.9985663294792175,approach,0.9987919330596924
349,cabin,0.9985647201538086,measur,0.9987912178039551
350,type,0.998563289642334,current,0.9987897872924805
351,crp,0.9985619783401489,time,0.9987865686416626
352,33,0.9985610246658325,agent,0.998786449432373
353,dri,0.998560905456543,standard,0.998786211013794
354,opac,0.9985607266426086,therapeut,0.9987850189208984
355,literatur,0.9985601902008057,atyp,0.9987848997116089
356,along,0.9985599517822266,previous,0.9987846612930298
357,structur,0.9985593557357788,correl,0.9987828731536865
358,70,0.9985586404800415,mobil,0.9987826943397522
359,search,0.9985581636428833,80,0.9987825155258179
360,diarrhea,0.998557448387146,enlarg,0.9987818002700806
361,lymphocyt,0.9985557794570923,defin,0.9987808465957642
362,monitor,0.998555600643158,posterior,0.9987806081771851
363,exclud,0.9985546469688416,23,0.9987804889678955
364,lower,0.998554527759552,16,0.9987804293632507
365,sputum,0.9985538721084595,receptor,0.998780369758606
366,1,0.9985529184341431,25,0.9987772107124329
367,common,0.9985529184341431,requir,0.9987765550613403
368,swab,0.998552680015564,sampl,0.9987752437591553
369,number,0.9985523223876953,mortal,0.9987751841545105
370,coinfect,0.998552143573761,demonstr,0.998773992061615
371,last,0.998552143573761,set,0.9987735748291016
372,death,0.9985519647598267,host,0.998773455619812
373,65,0.9985511302947998,death,0.998773455619812
374,home,0.9985507726669312,type,0.9987730979919434
375,great,0.998550295829773,condit,0.998772919178009
376,influenza,0.998549222946167,method,0.9987727403640747
377,31,0.9985491037368774,recoveri,0.9987708330154419
378,28,0.9985471963882446,recent,0.9987707138061523
379,cardiomyopathi,0.9985470771789551,pain,0.9987698197364807
380,001,0.9985470771789551,55,0.9987693428993225
381,appear,0.9985455870628357,70,0.9987691640853882
382,interstiti,0.9985447525978088,virus,0.9987680912017822
383,citi,0.9985439777374268,control,0.9987679719924927
384,design,0.9985432028770447,cardiomyopathi,0.9987671971321106
385,current,0.998540997505188,lymphocyt,0.998767077922821
386,recent,0.9985407590866089,contain,0.9987664222717285
387,receptor,0.9985404014587402,suspicion,0.9987651109695435
388,diagnosi,0.9985403418540955,mechan,0.9987650513648987
389,714,0.9985390901565552,search,0.9987629652023315
390,455,0.9985388517379761,neonat,0.9987626075744629
391,state,0.9985387325286865,31,0.9987623691558838
392,fatigu,0.9985365867614746,median,0.9987621903419495
393,peopl,0.9985361099243164,six,0.9987615942955017
394,bilirubin,0.9985359907150269,commun,0.9987607002258301
395,rare,0.9985359907150269,100,0.9987605810165405
396,woman,0.99853515625,11,0.9987601637840271
397,29,0.9985333681106567,statist,0.9987597465515137
398,tract,0.998532772064209,cohort,0.9987585544586182
399,contain,0.9985305070877075,girl,0.998756468296051
400,worldwid,0.9985296130180359,around,0.9987564086914062
401,durat,0.9985290765762329,455,0.9987561702728271
402,materi,0.9985290765762329,sore,0.9987553358078003
403,neonat,0.998528778553009,sputum,0.9987552165985107
404,softwar,0.9985279440879822,develop,0.9987528324127197
405,screen,0.9985274076461792,old,0.9987528324127197
406,character,0.9985271692276001,technolog,0.9987514019012451
407,especi,0.9985259175300598,resolut,0.9987510442733765
408,ldh,0.9985249638557434,86,0.9987494945526123
409,36,0.9985229969024658,influenza,0.9987481236457825
410,25,0.9985227584838867,wbc,0.9987472295761108
411,50,0.9985210299491882,definit,0.9987462162971497
412,reveal,0.9985207319259644,criteria,0.9987453818321228
413,ddpcrbase,0.9985204935073853,start,0.9987443685531616
414,femal,0.9985191226005554,19,0.9987438321113586
415,ground,0.9985188245773315,lesion,0.99874347448349
416,recogn,0.9985184669494629,diarrhea,0.9987430572509766
417,may,0.9985170960426331,mani,0.9987415075302124
418,sensit,0.9985164403915405,infecti,0.99873948097229
419,italian,0.9985154867172241,sarscov,0.9987389445304871
420,effect,0.9985154271125793,design,0.9987375140190125
421,22,0.998515248298645,polymeras,0.9987375140190125
422,time,0.9985149502754211,opac,0.9987367987632751
423,older,0.9985148310661316,highest,0.9987367987632751
424,cohort,0.9985138177871704,alt,0.998734176158905
425,individu,0.9985133409500122,declar,0.9987335801124573
426,infant,0.9985132217407227,significantli,0.998733401298523
427,appar,0.9985122680664062,tract,0.9987332820892334
428,still,0.998511791229248,incid,0.9987330436706543
429,mani,0.9985114336013794,low,0.9987330436706543
430,diabet,0.9985113739967346,screen,0.9987328052520752
431,set,0.9985108375549316,22,0.9987318515777588
432,demonstr,0.9985105991363525,divid,0.9987309575080872
433,previous,0.998510479927063,36,0.9987306594848633
434,date,0.998510479927063,laboratoryconfirm,0.9987303018569946
435,virus,0.9985100030899048,28,0.9987293481826782
436,suspicion,0.9985096454620361,public,0.9987279176712036
437,mild,0.9985079169273376,valu,0.9987266063690186
438,wbc,0.9985077381134033,structur,0.9987263679504395
439,crazi,0.9985069036483765,respect,0.9987243413925171
440,like,0.9985039234161377,mass,0.9987218379974365
441,auxiliari,0.9985035061836243,recogn,0.9987214207649231
442,efficaci,0.9985034465789795,detect,0.9987211227416992
443,close,0.9985001087188721,individu,0.9987205266952515
444,ventil,0.9984995126724243,support,0.9987201690673828
445,endem,0.9984992146492004,intens,0.9987197518348694
446,respect,0.9984981417655945,21,0.9987196922302246
447,increas,0.9984966516494751,tb,0.9987195730209351
448,neutrophil,0.9984965324401855,especi,0.998719334602356
449,longer,0.9984953999519348,glass,0.9987179040908813
450,7,0.9984952211380005,prognosi,0.9987171292304993
451,girl,0.9984948039054871,facilit,0.9987168312072754
452,19,0.9984946846961975,worldwid,0.9987162351608276
453,pave,0.998494565486908,ncp,0.9987159371376038
454,alt,0.9984919428825378,neutrophil,0.9987155795097351
455,significantli,0.9984918236732483,publish,0.9987151622772217
456,serolog,0.9984912872314453,efficaci,0.9987147450447083
457,thu,0.9984911680221558,8,0.9987142086029053
458,dmfr,0.9984892010688782,interlobular,0.9987134337425232
459,method,0.9984880685806274,procedur,0.9987126588821411
460,vs,0.998487651348114,tool,0.9987084269523621
461,pain,0.998487114906311,crp,0.9987067580223083
462,independ,0.9984855651855469,exclud,0.998706042766571
463,old,0.9984838962554932,dri,0.9987056255340576
464,univers,0.9984820485115051,exhibit,0.9987053871154785
465,nervou,0.9984812140464783,coexist,0.9987009763717651
466,rna,0.9984791278839111,univers,0.9986971616744995
467,requir,0.9984779357910156,strict,0.9986964464187622
468,databas,0.9984742999076843,sensit,0.9986961483955383
469,ci,0.9984721541404724,quantifi,0.9986958503723145
470,chines,0.9984718561172485,share,0.9986947774887085
471,interquartil,0.9984712600708008,48,0.998694658279419
472,success,0.998467206954956,andor,0.9986931085586548
473,commun,0.998465895652771,viru,0.9986929893493652
474,march,0.9984645843505859,realtim,0.9986901879310608
475,publish,0.9984626770019531,ai,0.9986885786056519
476,model,0.9984625577926636,man,0.9986881613731384
477,ai,0.9984613656997681,older,0.9986873865127563
478,measur,0.9984610080718994,fatigu,0.9986867308616638
479,bodi,0.9984608888626099,lymphoma,0.9986849427223206
480,ordinari,0.998458206653595,20,0.9986846446990967
481,densiti,0.9984573125839233,vs,0.9986833930015564
482,resolut,0.9984571933746338,stay,0.9986818432807922
483,27,0.9984555840492249,march,0.998680055141449
484,tuberculosi,0.9984554052352905,interquartil,0.9986798167228699
485,sequenc,0.9984540939331055,transcript,0.9986767768859863
486,incid,0.9984537363052368,rna,0.9986761808395386
487,suspici,0.9984534978866577,compar,0.9986754655838013
488,detect,0.9984526634216309,35,0.9986743927001953
489,criteria,0.9984516501426697,50,0.9986735582351685
490,35,0.9984503388404846,materi,0.998672366142273
491,public,0.9984501600265503,isol,0.9986717104911804
492,38,0.9984500408172607,procalcitonin,0.9986708760261536
493,exhibit,0.9984493851661682,unit,0.998670756816864
494,surgeri,0.9984477758407593,great,0.998670220375061
495,44,0.9984477758407593,ventil,0.9986691474914551
496,propos,0.9984475374221802,longterm,0.998668909072876
497,assess,0.9984469413757324,literatur,0.9986687302589417
498,central,0.9984468817710876,consist,0.9986660480499268
499,technolog,0.9984463453292847,cn,0.9986658096313477
500,hemorrhag,0.9984461665153503,icu,0.9986658096313477
501,statist,0.998443603515625,2020,0.9986637234687805
502,essenti,0.9984419345855713,adult,0.9986633658409119
503,procedur,0.9984414577484131,risk,0.9986617565155029
504,due,0.9984385967254639,close,0.9986564517021179
505,injuri,0.9984365701675415,central,0.998654305934906
506,month,0.9984341263771057,order,0.9986540079116821
507,definit,0.9984336495399475,due,0.9986529350280762
508,defin,0.9984322786331177,p005,0.9986515045166016
509,refer,0.9984312653541565,hemorrhag,0.998651385307312
510,share,0.9984307289123535,serolog,0.998650074005127
511,ddimer,0.9984295964241028,januari,0.998649537563324
512,januari,0.9984285235404968,antibodi,0.9986485242843628
513,must,0.998425304889679,igm,0.9986475706100464
514,intellig,0.9984229803085327,pathogen,0.998643696308136
515,develop,0.998421847820282,learn,0.9986427426338196
516,14,0.9984215497970581,malign,0.9986415505409241
517,function,0.9984212517738342,assess,0.9986414909362793
518,valu,0.998420000076294,specimen,0.9986409544944763
519,enhanc,0.9984193444252014,work,0.9986407160758972
520,fatal,0.9984186887741089,ordinari,0.9986395835876465
521,infecti,0.9984160661697388,ddimer,0.9986395835876465
522,six,0.9984136819839478,itali,0.9986394047737122
523,facilit,0.9984133839607239,shortterm,0.998637855052948
524,p005,0.9984115362167358,appar,0.9986343383789062
525,longterm,0.9984091520309448,dehydrogenas,0.998633861541748
526,consider,0.9984077215194702,consider,0.9986338019371033
527,sore,0.9984069466590881,hscrp,0.9986331462860107
528,chain,0.9984049201011658,relev,0.9986330270767212
